Case Number,Date Reported,Date/Time Occurred,Location,Incident Type,Disposition
250926,2/26/25,2/25/25 16:00,McNutt Quad Exterior Grounds,All Other Theft Up To $49999,No Arrest
250921,2/26/25,2/25/25 2:00,Indiana Ave/South of 10th St,Operating While Intoxicated,Suspect Arrested
250921,2/26/25,2/25/25 2:00,Indiana Ave/South of 10th St,Illegal Consumption/Possession Of Alcohol By Minor,Suspect Arrested
251202,2/25/25,2/25/25 0:00,Franklin Hall,Theft From Building Less Than $750,Open Case
250918,2/25/25,2/22/25 17:00,Tulip Tree Exterior Grounds,Leaving The Scene Of A Property Damage Crash,Open Case
250917,2/25/25,2/25/25 19:00,Bill Garrett Fieldhouse,Theft From Building Less Than $750,Open Case
250914,2/25/25,2/25/25 12:00,IU Police Department,False Government Issued Identification,No Arrest
250910,2/25/25,11/15/24 8:00,Cyclotron (ISAT),All Other Theft Up To $49999,Open Case
250907,2/25/25,2/17/25 9:00,528 E 7th,Burglary,Open Case
250906,2/25/25,2/16/25 0:15,Ashton Hershey Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250905,2/25/25,2/14/25 15:00,Briscoe Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250904,2/25/25,2/13/25 15:35,Teter Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250903,2/25/25,2/24/25 21:30,528 E 7th,Criminal Mischief Loss Less Than $750,Open Case
250902,2/25/25,2/24/25 8:03,IU Health Bloomington Hospital,Public Nudity,Investigated By Other Agency
250900,2/25/25,10/1/24 0:00,Read Hall,Stalking - Clery,Referred To University Officials For Review
250951,2/24/25,2/23/25 19:23,IU Police Department,Harassment,No Arrest
250893,2/24/25,2/24/25 16:25,Atwater Ave/West Of Eagleson,Leaving The Scene Of A Property Damage Crash,Victim Declined To Prosecute
250888,2/24/25,2/22/25 12:00,Indiana Memorial Union,Fraud,Open Case
250886,2/24/25,9/14/24 0:00,USA Linden Hall,Rape,Referred To University Officials For Review
250885,2/24/25,2/24/25 12:00,600 Blk N Walnut Grove,Leaving The Scene Of A Property Damage Crash,Open Case
250882,2/24/25,1/19/25 22:00,USA Pine Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250882,2/24/25,1/19/25 22:00,USA Pine Hall,Possession Marijuana/Hash Oil/Hashish/Salvia,Referred To University Officials For Review
250878,2/23/25,2/21/25 21:00,Spea,Vehicle Theft,Open Case
250877,2/23/25,2/22/25 20:00,Phi Sigma Kappa,Domestic Battery Or Minor Bodily Injury,Referred To University Officials For Review
250868,2/23/25,2/22/25 23:00,USA Linden Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250864,2/23/25,2/22/25 20:25,Alpha Epsilon Phi,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250859,2/22/25,2/21/25 23:30,Eigenmann Hall,Theft From Coin Operated Machine Less Than $750,Open Case
250850,2/22/25,11/16/24 15:00,Woodlawn Field,All Other Theft Less Than $750,Open Case
250846,2/22/25,2/21/25 22:30,Foster Harper Hall,Illegal Consumption/Possession Of Alcohol By Minor,Suspect Issued Trespass Warning
250844,2/22/25,2/21/25 21:00,Eigenmann Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250844,2/22/25,2/21/25 21:00,Eigenmann Hall,False Government Issued Identification,Referred To University Officials For Review
250832,2/21/25,2/21/25 9:00,Foster Exterior Grounds,All Other Theft Less Than $750,Open Case
250826,2/21/25,1/10/25 15:00,Campus View Apts,False Government Issued Identification,No Arrest
250817,2/21/25,2/21/25 3:21,Dunn St/South of 10th,Operating While Intoxicated,Suspect Arrested
250815,2/21/25,2/21/25 0:20,Sigma Pi,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250807,2/20/25,2/20/25 14:40,Hodge Hall,Invasion Of Privacy,Suspect Arrested
250794,2/20/25,2/19/25 22:30,Foster Martin Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250793,2/19/25,2/19/25 12:40,Godfrey Grad & Exec Center,Vehicle Theft,Open Case
250791,2/19/25,2/18/25 9:30,David Baker Ave,Criminal Mischief Loss Less Than $750,Open Case
250789,2/19/25,2/17/25 20:00,Tau Epsilon Phi,Theft From Building Less Than $750,Victim Declined To Prosecute
250788,2/19/25,2/19/25 15:00,Ashton Center Exterior Grounds,Stalking - Clery,Open Case
250786,2/19/25,2/19/25 12:00,Union Street/South of 10th,Leaving The Scene Of A Property Damage Crash,Open Case
250782,2/19/25,2/18/25 22:00,Memorial Stadium,Criminal Trespass,Suspect Issued Trespass Warning
250781,2/19/25,2/17/25 20:52,Circle K - 3rd and Indiana Ave,Public Intoxication By Alcohol,Suspect Arrested
250781,2/19/25,2/17/25 20:52,Circle K - 3rd and Indiana Ave,Disorderly Conduct,Suspect Arrested
250774,2/19/25,8/2/24 6:00,Dunn Meadow,All Other Theft Less Than $750,Probable Cause Filed
250770,2/18/25,1/30/25 12:00,Indiana Memorial Union,Theft From Building Less Than $750,Open Case
250768,2/18/25,2/18/25 17:00,Hodge Hall,Theft From Building Less Than $750,Open Case
250756,2/18/25,2/18/25 18:52,Campus View Apts,Theft From Building Less Than $750,Open Case
250754,2/18/25,2/18/25 9:30,Zeta Tau Alpha,Leaving The Scene Of A Property Damage Crash,Victim Declined To Prosecute
250748,2/18/25,2/9/25 0:10,Collins Cravens Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250747,2/18/25,2/7/25 14:45,Forest Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250746,2/18/25,2/7/25 14:40,Eigenmann Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250745,2/18/25,2/7/25 13:30,Ashton Stempel Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250744,2/18/25,2/6/25 22:15,McNutt Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250743,2/18/25,2/6/25 23:20,Teter Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250742,2/18/25,2/6/25 17:30,Teter Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250741,2/18/25,2/5/25 5:45,Teter Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250740,2/18/25,2/5/25 19:30,Briscoe Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250739,2/18/25,2/5/25 20:30,Wilkie South,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250738,2/18/25,2/3/25 17:15,Teter Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250737,2/18/25,2/3/25 15:15,McNutt Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250735,2/18/25,2/3/25 15:15,McNutt Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250734,2/18/25,1/31/25 15:45,Briscoe Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250733,2/18/25,1/31/25 15:35,Briscoe Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250732,2/18/25,1/31/25 15:30,Briscoe Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250731,2/18/25,1/29/25 19:45,Read Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250729,2/18/25,2/1/25 1:30,Collins Smith Hall,Odor Of Marijuana,Failed To Locate
250727,2/18/25,2/18/25 3:46,Poplars Parking Garage,Possession Of Paraphernalia,Suspect Arrested
250727,2/18/25,2/18/25 3:46,Poplars Parking Garage,Possession Of Methamphetamine,Suspect Arrested
250727,2/18/25,2/18/25 3:46,Poplars Parking Garage,Criminal Trespass,Suspect Arrested
250727,2/18/25,2/18/25 3:46,Poplars Parking Garage,Possession of a Hypodermic Syringe or Needle,Suspect Arrested
250724,2/17/25,2/17/25 19:43,Indiana Ave/South of 10th St,Leaving The Scene Of A Property Damage Crash,Open Case
250722,2/17/25,2/17/25 14:00,Foster Harper Hall,Theft From Building Less Than $750,Unfounded
250720,2/17/25,1/15/25 12:00,Auditorium,Stalking - Clery,Open Case
250718,2/17/25,2/16/25 3:13,500 Blk E Kirkwood,Public Intoxication By Alcohol,Suspect Arrested
250717,2/17/25,2/15/25 6:50,IU Health Bloomington Hospital,Dealing Methamphetamine,Investigated By Other Agency
250717,2/17/25,2/15/25 6:50,IU Health Bloomington Hospital,Possession of a Hypodermic Syringe or Needle,Investigated By Other Agency
250717,2/17/25,2/15/25 6:50,IU Health Bloomington Hospital,Possession Marijuana/Hash Oil/Hashish/Salvia,Investigated By Other Agency
250717,2/17/25,2/15/25 6:50,IU Health Bloomington Hospital,Possession Of Methamphetamine,Investigated By Other Agency
250717,2/17/25,2/15/25 6:50,IU Health Bloomington Hospital,All Other Theft Less Than $750,Investigated By Other Agency
250717,2/17/25,2/15/25 6:50,IU Health Bloomington Hospital,Possession Of Paraphernalia,Investigated By Other Agency
250704,2/17/25,2/17/25 3:02,USA Exterior Grounds,Theft From Motor Vehicle Less Than $750,Open Case
250700,2/16/25,2/9/25 8:00,Campus View Apts,Stalking - Clery,Open Case
250700,2/16/25,2/9/25 8:00,Campus View Apts,Intimidation,Open Case
250699,2/16/25,2/15/25 23:30,Forest Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250697,2/15/25,2/15/25 18:46,Delta Tau Delta,False Reporting/False Informing,Suspect Arrested
250697,2/15/25,2/15/25 18:46,Delta Tau Delta,Illegal Consumption/Possession Of Alcohol By Minor,Suspect Arrested
250690,2/15/25,2/15/25 1:29,Spruce Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250689,2/14/25,2/14/25 22:10,Simon Skjodt Assembly Hall,Criminal Trespass,Referred To University Officials For Review
250686,2/14/25,2/14/25 14:25,Bryan Hall,Harassment,Open Case
250681,2/14/25,2/12/25 20:30,Sigma Alpha Epsilon,Stalking - Clery,Open Case
250681,2/14/25,2/12/25 20:30,Sigma Alpha Epsilon,Intimidation,Open Case
250677,2/13/25,2/13/25 21:35,Read Hall,Electrical Fire,Records Only
250675,2/13/25,2/13/25 19:43,Foster Exterior Grounds,Leaving The Scene Of A Property Damage Crash,Open Case
