Case #,Incident Type,Date/Time Reported,Occurred Range,Location,Disposition
25-00811,626: Exclusion Order Issued 626.6(A): PC; Nnstdnt Refuse Leave Univ; Misdemeanor *647(E): PC; Disorderly Conduct:lodge Without Owners Consent *647(E): PC; Disorderly Conduct:lodge Without Owners Consent,3/19/25 9:07,"03/19/2025  09:00 - 3/19/25
 9:15 - *03/18/2025  *00:00 - *3/18/25
*23:59",Dwinelle Hall,Inactive
25-00812,INFO: Information Only Report,3/19/25 9:35,"03/17/2025  18:39 - 3/17/25
18:40",Womens Faculty Club,Inactive
25-00813,Caslty: Injury/Illness,3/19/25 11:12,"03/19/2025  11:12 - 3/19/25
11:24",2650 Durant Av; Unit-1 Cheney,Inactive
25-00814,11377(A): HS; Possess Controlled Substance; Misdemeanor,3/19/25 11:08,"03/18/2025  18:00 - 3/19/25
 8:30",Morgan Hall,Inactive
25-00816,DEMO: Demonstration,3/19/25 12:37,"03/19/2025  12:36 - 3/19/25
13:40",Upper Sproul Plaza,Inactive
25-00817,INFO: Information Only Report,3/19/25 12:10,"03/19/2025  12:10 - 3/19/25
13:23",200 Centennial Dr; Botanical Garden,Inactive
25-00818,OA-BPD: Outside Assist - BPD OA-BATTERY: Outside Assist - Battery,3/19/25 12:42,"03/19/2025  11:35 - 3/19/25
11:36",2300 Bancroft Wy,Inactive
25-00819,INFO: Information Only Report,3/19/25 11:21,"03/19/2025  11:21 - 3/19/25
13:37",2299 Piedmont Av; I House Lot,Inactive
25-00820,Lost Prop.: Lost Property,3/19/25 15:48,3/19/25 15:48,2601 Warring St; CKC,Inactive
25-00823,INFO: Information Only Report,3/19/25 15:47,"03/14/2025  11:30 - 3/14/25
11:35 - 03/20/2025  00:00  -  03/20/2025  23:59",Law Building,Inactive
25-00821,*OA-VEH BURGLAR: Outside Assist - Vehicle Burglary SUPP: Supplemental Reports,3/20/25 4:15,*03/20/2025  *02:35 - *02:44,"*1075 Monroe St, Albany, CA 94706",Active
25-00822,484(A): PC; Theft Of Personal Property; Misdemeanor,3/20/25 9:15,"03/20/2025  08:30 - 3/20/25
 9:30",Law Building,Inactive
25-00824,25661: BP; Possess/Use False Evidence of Age; Misdemeanor,3/20/25 13:37,"03/20/2025  13:30 - 3/20/25
14:52",2301 Bancroft Wy; RSF,Inactive
25-00825,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,3/20/25 15:50,"03/20/2025  12:00 - 3/20/25
15:45",2151 Berkeley Wy; IGIB,Inactive
25-00826,484G(B): PC; Unauth Use Accss Crd 950+; Felony,3/20/25 15:41,"03/11/2025  00:01 - 3/11/25
23:59",Mulford Hall,Inactive
25-00827,OA-BPD: Outside Assist - BPD *OA-AUTO THEFT: Outside Assist - Auto Theft,3/20/25 20:04,"03/20/2025  11:00 - 3/20/25
18:00",Hearst Av WEST Gayley Rd,Inactive
25-00828,"OA-OTHER CRIME: Outside Assist - Other Crime OUT WRTF: Other Agency Warrant, Fel",3/20/25 20:54,*UNKNOWN,UC SANTA BARBARA,Closed
25-00829,Caslty: Injury/Illness,3/21/25 0:44,"03/21/2025  00:43 - 3/21/25
 0:44",2650 Durant Av; Unit-1 Deutsch,Inactive
25-00830,626: Exclusion Order Issued 484(A): PC; Theft Of Personal Property; Misdemeanor,3/21/25 8:20,"03/21/2025  08:20 - 3/21/25
 9:09",605 Ohlone Av,Inactive
25-00831,14601.1(A): VC; Driving While Lic Suspended/Revoked; Misdemeanor 5200 (a): VC; Improper Display of License Plates; Infraction 4000 (a)(1): VC; No Registration: Vehicle/Trailer/Etc; Infraction,3/21/25 13:28,"03/21/2025  13:28 - 3/21/25
13:30",Adeline St  & 39th,Closed
25-00832,14601.1(A): VC; Driving While Lic Suspended/Revoked; Misdemeanor TRAFFIC INF: VC; Traffic Violations; Infraction,3/21/25 14:14,"03/21/2025  14:14 - 3/21/25
14:25",San Pablo Av  & 35th,Closed
25-00833,INFO: Information Only Report,3/21/25 14:24,"03/21/2025  14:24 - 3/21/25
14:25",2155 Center St; UAM,Inactive
25-00834,SUPP: Supplemental Reports Rec-Stolen: Recovered Stolen Vehicle 466: PC; Possess/Etc Burglary Tools; Misdemeanor 484(A): PC; Theft Of Personal Property; Misdemeanor 2800.2(A): VC; Evade Peace Officer With Wanton Disregard For Safety; Felony 10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,3/21/25 17:03,3/21/25 17:03,2061 Allston Wy,Active
25-00835,OA-BPD: Outside Assist - BPD OA-OTHER CRIME: Outside Assist - Other Crime *246.3 PC: Negligent Discharge of a Firearm,3/21/25 21:26,"03/21/2025  21:25 - 3/21/25
21:26 - University of California PD, Berkeley - Daily Crime Log - 03/22/2025  00:00  -  03/22/2025  23:59",15 Canyon Rd,Inactive
25-00838,12500 (A): VC; Drive Without Licence; Misdemeanor,3/23/25 0:07,"03/23/2025  00:07 - 3/23/25
 0:10",University Av  & Walnut St,Closed
25-00839,166(A)(4): PC; Contempt Of Court:disobey Court Order/Etc; Misdemeanor,3/23/25 9:22,"03/23/2025  09:22 - 3/23/25
10:00",**University Village; UVA,Inactive
25-00840,594(A)(1): PC; Vandalism:deface Property; Misdemeanor,3/23/25 16:27,"03/22/2025  12:00 - 3/23/25
15:00",Lower Sproul Plaza,Inactive
25-00841,SUPP: Supplemental Reports OA-THEFT: Outside Assist - Theft OA-BPD: Outside Assist - BPD OA-OTHER CRIME: Outside Assist - Other Crime *29610 PC: Minor in Possession of a Firearm,3/23/25 20:57,03/23/2025  20:57 - 02/01/2025  00:00  -  02/01/2025  23:59,2580 Bancroft Wy,Inactive
25-00284,OA-NON-CRIMINAL: Outside Assist - Non-Criminal Casualty-Alcoholol Inv: Injury/Illness - Alcohol,2/1/25 1:17,"02/01/2025  01:16 - 2/1/25
 1:17",2650 Haste St; Unit-2 Towle,Inactive
25-00285,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,2/1/25 2:17,"02/01/2025  02:16 - 2/1/25
 2:17",2650 Haste St; Unit-2 Towle,Inactive
25-00286,626: Exclusion Order Issued,2/1/25 8:05,"02/01/2025  08:05 - 2/1/25
 8:10",Lower Sproul Garage,Closed
25-00287,Caslty: Injury/Illness,2/1/25 8:21,2/1/25 8:21,Lower Sproul Garage,Inactive
25-00288,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor,2/1/25 9:29,"02/01/2025  08:30 - 2/1/25
 9:30",2650 Durant Av; Unit-1,Active
25-00289,Caslty: Injury/Illness,2/1/25 9:53,2/1/25 9:53,1950 Oxford St; Anchor House,Inactive
25-00291,484(A): PC; Theft Of Personal Property; Misdemeanor,2/1/25 12:04,"01/31/2025  17:30 - 1/31/25
17:35",2495 Bancroft Wy; Amazon Store,Inactive
25-00292,INFO: Information Only Report,2/1/25 11:51,"02/01/2025  00:00 - 2/1/25
 9:00",2100 Channing Wy; Manville Apartments,Inactive
25-00293,Caslty: Injury/Illness,2/1/25 15:00,2/1/25 15:00,Witter Field,Inactive
25-00294,261(A)(2): PC; Rape By Force/Fear/Etc; Felony,2/1/25 13:03,"02/01/2025  00:00 - 2/1/25
 1:00",*2200 Block of Piedmont Av,Active
25-00295,Caslty: Injury/Illness,2/1/25 19:49,"02/01/2025  19:49 - 2/1/25
19:50",2700 Hearst Av; Foothill-4,Inactive
25-00296,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,2/1/25 23:38,"02/01/2025  23:38 - 2/1/25
23:39 - 02/02/2025  00:00  -  02/02/2025  23:59",2401 Durant Av; Blackwell Hall,Inactive
25-00297,22651(o)(1): VC; Stored Vehicle-Registration Expired Over 6 Months; Infraction 21657: VC; Wrong Way Driver; Infraction,2/2/25 2:23,"02/02/2025  02:23 - 2/2/25
2:23",Durant Av  & Telegraph Av,Inactive
25-00298,Lost Prop.: Lost Property,2/2/25 10:39,2/1/25 18:10,Wheeler Hall,Inactive
25-00299,INFO: Information Only Report,2/2/25 12:21,2/2/25 12:21,1076 Grizzly Peak Bl,Inactive
25-00301,Caslty: Injury/Illness,2/2/25 14:54,2/2/25 14:54,2650 Durant Av; Unit-1 Christian,Inactive
25-00302,WELFARE: Welfare Check,2/2/25 15:51,2/2/25 15:51,2150 Kittredge St #626,Active
25-00303,4463 (A): VC; Forge/Alter Vehicle Registration/Etc; Felony 626: Exclusion Order Issued SUPP: Supplemental Reports,2/2/25 17:05,"02/02/2025  17:05 - 2/2/25
17:06",GPB Garage,Closed
25-00304,626.6(A): PC; Nnstdnt Refuse Leave Univ; Misdemeanor,2/2/25 17:03,2/2/25 17:03,Lower Sproul Garage,Closed
25-00305,OA-SEXUAL ASSAULT: Outside Assist - Sexual Assault *Fondling,2/2/25 23:12,"02/02/2025  21:20 - 2/2/25
21:30",**2200 Block of Bancroft Wy,Inactive
25-00306,"978.5: PC; Bench Warrant/Failure To Appear On Misdemeanor Charge; Misdemeanor 11350(A): HS; Possess Narcotic Controlled Substance; Misdemeanor 626.10(B): PC; Poss Wpn Univ Not F/Arm; Felony 11377(A): HS; Possess Controlled Substance; Misdemeanor 11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor OUT WRTM: Other Agency Warrant, Misd 626: Exclusion Order Issued",2/3/25 0:47,"02/03/2025  00:47 - 2/3/25
 0:57",2301 Bancroft Wy; RSF Garage,Closed
25-00307,"*10851(A): VC, Take Vehicle W/O Owner's Consent/ Vehicle Theft; Felony",2/3/25 10:35,*Unknown,Physics Building,Inactive
25-00308,INFO: Information Only Report,2/3/25 10:42,"01/31/2025  13:30 - 1/31/25
13:36",2222 Bancroft Wy; Tang Center,Inactive
25-00309,484(A): PC; Petty Theft; Misdemeanor *Burglary,2/3/25 11:00,"*01/30/2025  *00:00 - *1/31/25
*09:30",McCone Hall,Inactive
25-00310,484(A): PC; Petty Theft; Misdemeanor,2/3/25 0:23,"01/30/2025  22:00 - 2/2/25
12:00",Valley Life Science Building,Inactive
25-00312,Caslty: Injury/Illness,2/3/25 12:11,2/3/25 12:11,7 Gauss Wy; Space Sciences,Inactive
25-00313,Caslty: Injury/Illness,2/3/25 12:31,"02/03/2025  12:31 - 2/3/25
12:32",1110 Jackson St #921,Inactive
25-00314,OA-BPD: Outside Assist - BPD *Assault,2/3/25 17:24,02/02/2025  *Unknown,2316 Haste St,Inactive
25-00315,INFO: Information Only Report,2/3/25 17:57,"02/03/2025  17:50 - 2/3/25
17:57",2222 Bancroft Wy; Tang Center,Inactive
25-00316,242: PC; Battery On Person; Misdemeanor,2/3/25 1:47,"02/03/2025  01:40 - 2/3/25
 1:47 - University of California PD, Berkeley - Daily Crime Log - 02/03/2025  00:00  -  02/03/2025  23:59",2650 Durant Av; Unit-1 Putnam,Inactive
25-00317,626: Exclusion Order Issued 647(E): PC; Disorderly Conduct:lodge Without Owners Consent; Misdemeanor,2/3/25 22:29,2/3/25,"02/03/2025  22:29, 22:30",Social Sciences Building
*Manually Added/ Edited,,nan,nan,nan,Unknown
25-00318,SUPP: Supplemental Reports 166(A)(1): PC; Contempt Of Court:disorderly/Etc Behavior; Misdemeanor 1203.2(A): PC; Probation Violation:rearrest/Revoke; Felony,2/4/25 9:28,"02/04/2025  09:28 - 2/4/25
9:44",2626 Bancroft Wy; Woo Hon Fai Hall,Closed
25-00319,415(2): PC; Disturb By Loud/Unreasonable Noise; Misdemeanor,2/4/25 11:52,"02/04/2025  11:45 - 2/4/25
11:53",Dwinelle Hall,Inactive
25-00320,INFO: Information Only Report,2/4/25 14:51,02/04/2025  *14:30,2535 Channing Wy; Channing/Bowditch Apts,Inactive
25-00321,484(A): PC; Theft Of Personal Property; Misdemeanor,2/4/25 15:27,"02/04/2025  14:00 - 2/4/25
14:30",2607 Hearst Av; Goldman School of Public Policy,Inactive
25-00322,484(A): PC; Petty Theft; Misdemeanor,2/4/25 15:50,"02/04/2025  15:37 - 2/4/25
15:50",Golden Bear Cafe,Inactive
25-00323,Caslty: Injury/Illness,2/4/25 16:17,"02/04/2025  16:00 - 2/4/25
16:30",Wheeler Hall,Inactive
25-00324,484(A): PC; Petty Theft; Misdemeanor,2/4/25 21:15,"02/04/2025  *20:14 - 2/4/25
*20:16",2301 Bancroft Wy; RSF,Inactive
25-00325,626: Exclusion Order Issued,2/4/25 21:08,"02/04/2025  21:08 - 2/4/25
23:15 - 02/05/2025  00:00  -  02/05/2025  23:59",Doe Library,Inactive
25-00326,Caslty: Injury/Illness,2/5/25 0:24,"02/05/2025  00:24 - 2/5/25
 0:25",2400 Durant Av; Unit-3 Spens/Black,Inactive
25-00327,Caslty: Injury/Illness,2/5/25 3:27,"02/05/2025  03:27 - 2/5/25
 3:28",Sproul Hall; UCPD,Inactive
25-00328,12500 (A): VC; Drive Without Licence; Misdemeanor 4000 (a)(1): VC; No Registration: Vehicle/Trailer/Etc; Infraction,2/5/25 7:48,"02/05/2025  07:48 - 2/5/25
 7:49",Dwight Wy  & College Av,Closed
25-00329,Caslty: Injury/Illness,2/5/25 9:49,"02/05/2025  09:49 - 2/5/25
10:13",Evans Hall,Inactive
25-00330,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2/5/25 10:59,"02/05/2025  08:50 - 2/5/25
10:50",2601 Warring St; CKC,Inactive
25-00331,484(A): PC; Petty Theft; Misdemeanor,2/5/25 10:58,"02/05/2025  09:10 - 2/5/25
 9:20",Class Of 1914 Fountain,Inactive
25-00332,12500 (A): VC; Drive Without Licence; Misdemeanor 4000 (a)(1): VC; No Registration: Vehicle/Trailer/Etc; Infraction,2/5/25 12:42,"02/05/2025  12:42 - 2/5/25
13:00",Piedmont Av  & Bancroft Wy,Closed
25-00333,484(A): PC; Theft Of Personal Property; Misdemeanor,2/5/25 9:56,"02/05/2025  09:35 - 2/5/25
9:40",Hildebrand Hall,Inactive
25-00334,518(A): PC; Extortion; Felony,2/5/25 11:49,"02/05/2025  04:52 - 2/5/25
 8:00",Valley Life Science Building,Active
25-00335,484G: PC; Theft By Use Of Access Card Information; Misdemeanor,2/5/25 13:16,"01/31/2025  00:00 - 1/31/25
23:59",Cory Hall,Inactive
25-00336,INFO: Information Only Report,2/5/25 13:16,*02/03/2025  *19:15,Canyon Rd EAST,Inactive
25-00337,Lost Prop.: Lost Property,2/5/25 13:41,01/01/2020  00:00 - 02/05/2025  00:00  -  02/05/2025  23:59 - 12/31/21,"Stanley Hall, 23:59",Inactive
25-00345,INFO: Information Only Report,2/6/25 7:32,"01/20/2025  19:32 - 1/23/25
 5:26","Campus (Unspecified Campus Location); Campus, Unspecified",Inactive
25-00346,Caslty: Injury/Illness,2/6/25 9:26,"02/06/2025  09:26 - 2/6/25
 9:27",Hearst Field Annex,Inactive
25-00347,INFO: Information Only Report,2/6/25 9:44,"*01/30/2025 *00:01 - *1/30/25
*23:59",2299 Piedmont Av; I House,Inactive
25-00348,PRODAM: Property Damage,2/6/25 9:53,"02/06/2025  09:42 - 2/6/25
 9:43",980 Ohlone Av; UVA-117,Inactive
25-00349,OA-BPD: Outside Assist - BPD OA-ASSAULT: Outside Assist - Assault,2/6/25 0:12,2/6/25 0:12,2299 Piedmont Av; I House,Inactive
25-00350,INFO: Information Only Report,2/6/25 11:15,"02/06/2025  11:15 - 2/6/25
11:22",Haas Pavilion,Inactive
25-00351,4000 (a)(1): VC; No Registration: Vehicle/Trailer/Etc; Infraction 16028 (A): VC; Failure to Provide Financial Responsibility; Infraction,2/6/25 12:01,"02/06/2025  12:01 - 2/6/25
12:15",San Pablo Av  & 40th St,Closed
25-00352,INFO: Information Only Report,2/6/25 14:12,"01/31/2025  20:00 - 1/31/25
21:30",2465 Bancroft Wy; Eshleman Hall,Inactive
25-00353,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2/6/25 14:24,"02/06/2025  12:00 - *2/6/2025
*14:00",Chou Hall,Inactive
25-00354,INFO: Information Only Report,2/6/25 14:39,"12/30/2024  00:00 - 12/30/24
23:59",670 Kula Gulf Wy; UVA-159,Inactive
25-00355,594(A)(1): PC; Vandalism:deface Property; Felony,2/6/25 15:33,"02/05/2025  12:00 - 2/6/25
15:20",1608 Fourth St; Shared Services,Inactive
25-00356,INFO: Information Only Report,2/6/25 17:24,"02/06/2025  17:24 - 2/6/25
17:44 - 02/06/2025  00:00  -  02/06/2025  23:59",2495 Bancroft Wy; MLK Jr. Student Union,Inactive
25-00357,487(A): PC; Grand Theft:money/Labor/Property; Felony,2/6/25 8:40,"03/14/2024  00:01 - 3/14/24
23:49",South Hall,Inactive
25-00358,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2/6/25 18:07,"02/06/2025  15:40 - 2/6/25
17:00",Pimentel Hall,Inactive
25-00359,242: PC; Battery On Person; Misdemeanor 148(A)(1): PC; Obstruct/Resist/Etc Public/Peace Officer/Emergency Med Tech; Misde 626: Exclusion Order Issued,2/6/25 20:25,"02/06/2025  20:20 - 2/6/25
20:21",Genetics & Plant Biology Building; GPB,Closed
25-00360,Caslty: Injury/Illness,2/6/25 21:15,"02/06/2025  21:15 - 2/6/25
21:16",2495 Bancroft Wy; MLK Jr. Student Union,Inactive
25-00361,148.4(A)(1): PC; Tamper/Etc With Fire Alarm/Etc; Misdemeanor SUPP: Supplemental Reports 626: Exclusion Order Issued,2/6/25 18:57,"02/06/2025  18:57 - 2/6/25
21:48",2645 Haste St; Underhill Parking Structure,Closed
25-00362,23152(B): VC; Dui Alcohol/008 Percent; Misdemeanor 23152(A): VC; Dui Alcohol; Misdemeanor,2/7/25 2:04,"02/07/2025  02:04 - 2/7/25
02:05",Dana St  & Durant Av,Closed
25-00363,"11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor OUT WRTM: Other Agency Warrant, Misd 978.5: PC; Bench Warrant/Failure To Appear On Misdemeanor Charge; Misdemeanor",2/7/25 9:24,2/7/25 9:24,Haas Pavilion,Closed
25-00364,22651 (b): VC; Vehicle Parked Obstructing Normal Traffic; Infraction WELFARE: Welfare Check,2/7/25 10:07,"02/07/2025  10:07 - 2/7/25
11:20",West Circle,Inactive
25-00365,INFO: Information Only Report,2/7/25 13:37,"02/07/2025  13:20 - 2/7/25
13:37",2700 Hearst Av; Foothill-4,Inactive
25-00367,OA-ASSAULT: Outside Assist - Assault *Aggravated Assault,2/7/25 14:00,"02/07/2025  14:00 - 2/7/25
14:29",Bancroft Wy EAST Bowditch St,Inactive
25-00368,484(A): PC; Theft Of Personal Property; Misdemeanor,2/7/25 14:51,"02/06/2025  15:00 - 2/6/25
16:30",625 West End Wy; UVA-165,Inactive
25-00369,SUPP: Supplemental Reports 422(A): PC; Threaten Crime With Intent To Terrorize; Misdemeanor 626: Exclusion Order Issued,2/7/25 17:30,"02/07/2025  17:29 - 2/7/25
17:30",2601 Warring St; CKC-8,Active
25-00370,12500 (A): VC; Drive Without Licence; Misdemeanor 4000 (a)(1): VC; No Registration: Vehicle/Trailer/Etc; Infraction,2/7/25 22:08,"02/07/2025  22:08 - 2/7/25
22:29",Dana St  & Haste St,Closed
25-00371,OA-VEH BURGLARY: Outside Assist - Vehicle Burglary,2/7/25 22:06,"02/07/2025  22:06 - 2/7/25
22:07",3915 Broadway,Inactive
25-00372,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,2/8/25 0:11,"02/08/2025  00:11 - 2/8/25
 0:12",2650 Durant Av #613; Unit-1 Cheney,Inactive
25-00373,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,2/8/25 0:54,2/8/25 0:54,2650 Durant Av; Unit-1 Freeborn,Inactive
25-00374,"OUT WRTF: Other Agency Warrant, Fel 978.5: PC; Bench Warrant/Failure To Appear On Felony Charge; Felony OUT WRTM: Other Agency Warrant, Misd 978.5: PC; Bench Warrant/Failure To Appear On Misdemeanor Charge; Misdemeanor",2/8/25 0:36,"02/08/2025  00:36 - 2/8/25
 0:37",Stern Fire Ln,Closed
25-00375,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,2/8/25 1:57,"02/08/2025  01:57 - 2/8/25
 1:58",2503 Haste St #720D; Enclave Housing,Inactive
25-00376,484(A): PC; Theft Of Personal Property; Misdemeanor 626: Exclusion Order Issued 626.6(A): PC; Nnstdnt Refuse Leave Univ; Misdemeanor 602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor,2/8/25 7:45,2/8/25 7:45,1950 Oxford St; Anchor House,Closed
25-00377,626: Exclusion Order Issued,2/8/25 13:50,"02/08/2025  13:22 - 2/8/25
14:03",Cesar Chavez Center,Inactive
25-00378,INFO: Information Only Report,2/8/25 11:49,"02/07/2025  22:50 - 2/7/25
22:51",Sproul Hall,Inactive
25-00379,OA-BPD: Outside Assist - BPD 246.3(B): PC; Wilfl Dschrg Bb Gn Gr Neg; Misdemeanor 626.10(B): PC; Poss Wpn Univ Not F/ Arm; Misdemeanor *Aggravated Assault,2/8/25 18:14,"02/08/2025  18:00 - 2/8/25
18:14",Red Oak Av  & Gooding Wy,Inactive
25-00380,10851(A): VC; Take Vehicle Without Owner's Consent; Misdemeanor,2/8/25 20:15,"02/08/2025  13:00 - 2/8/25
14:49 - University of California PD, Berkeley - Daily Crime Log - 02/08/2025  00:00  -  02/08/2025  23:59",2451 Hearst Av; Lower Hearst Structure,Active
25-00381,Caslty: Injury/Illness,2/8/25 22:27,"02/08/2025  22:27 - 2/8/25
22:28",2650 Durant Av; Unit-1 Putnam,Inactive
25-00382,626: Exclusion Order Issued,2/8/25 22:32,"02/08/2025  22:32 - 2/8/25
23:06",University Village; UVA,Inactive
25-00383,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,2/8/25 23:47,"02/08/2025  23:47 - 2/8/25
23:48 - 02/09/2025  00:00  -  02/09/2025  23:59",2650 Haste St; Unit-2 Cunningham,Inactive
25-00391,Caslty: Injury/Illness,2/10/25 2:44,"02/10/2025  02:44 - 2/10/25
 2:45",2333 College Av; Ida Jackson House,Inactive
25-00392,Lost Prop.: Lost Property,2/10/25 8:16,2/8/25 10:30,Hearst Mining Building,Inactive
25-00393,INFO: Information Only Report,2/10/25 10:58,2/10/25 10:55,Grizzly Peak Gate,Inactive
25-00394,*OA-BPD: Outside Assist - BPD *OA-ASSAULT: Outside Assist - Assault,2/10/25 11:26,"*02/08/2025  *00:01 - *2/5/25
*23:59",2580 Bancroft Wy,Inactive
25-00395,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor 626: Exclusion Order Issued,2/10/25 12:10,2/10/25 12:10,1950 Oxford St; Anchor House,Inactive
25-00396,Caslty: Injury/Illness,2/10/25 12:03,2/10/25 12:03,LBNL-26,Inactive
25-00397,INFO: Information Only Report,2/10/25 12:30,"02/10/2025  12:30 - 2/10/25
12:31",2415 Bowditch St; Crossroads,Inactive
25-00398,Caslty: Injury/Illness,2/10/25 12:50,"02/10/2025  12:45 - 2/10/25
12:55",1898 Le Roy Av; Soda Hall,Inactive
25-00399,INFO: Information Only Report,2/10/25 12:40,"02/10/2025  12:40 - 2/10/25
12:41","Campus (Unspecified Campus Location); Campus, Unspecified",Active
25-00400,OA-BPD: Outside Assist - BPD OA-ASSAULT: Outside Assist - Assault *Aggravated Assault *Battery,2/10/25 15:11,"*02/09/2025  *12:00 - *2/9/25
*13:00",*2519 Ridge Rd,Inactive
25-00401,OA-BPD: Outside Assist - BPD *OA-ROBBERY: Outside Assist - Robbery *OA-BATTERY Outside Assist - Battery,2/10/25 17:30,"02/10/2025  17:00 - University of California PD, Berkeley - Daily Crime Log - 02/10/2025  00:00  -  02/10/2025  23:59",Oxford St  & Berkeley Wy,Inactive
25-00405,626: Exclusion Order Issued,2/11/25 13:15,"02/11/2025  13:00 - 2/11/25
13:14",2521 Hearst Av; Etcheverry Hall,Active
25-00406,INFO: Information Only Report SUPP: Supplemental Reports,2/11/25 17:35,"02/11/2025  17:35 - 2/11/25
17:36",Social Sciences Building,Inactive
25-00407,243(B): PC; Battery On Peace Officer/Emergency Personnel/Etc; Misdemeanor 148(A)(1): PC; Obstruct/Resist/Etc Public/Peace Officer/Emergency Med Tech; Misde 1203.2(A): PC; Probation Violation:rearrest/Revoke; Felony SUPP: Supplemental Reports *Attempted Aggravated Assault,2/11/25 20:26,"02/11/2025  20:26 - 2/11/25
20:30 - 02/12/2025  00:00  -  02/12/2025  23:59",Bauer Wurster Hall; Wurster Hall,Closed
25-00408,Caslty: Injury/Illness,2/12/25 5:30,"02/12/2025  05:30 - 2/12/25
 5:31",2650 Haste St; Unit-2 Davidson,Inactive
25-00409,626: Exclusion Order Issued 647(E): PC; Disorderly Conduct:lodge Without Owners Consent; Misdemeanor,2/12/25 6:07,"02/12/2025  06:07 - 2/12/25
 6:08",Dwinelle Hall,Inactive
25-00410,484(A): PC; Petty Theft; Misdemeanor,2/12/25 9:48,"02/11/2025  21:15 - 2/12/25
 21:20",Dwinelle Hall,Inactive
25-00411,626: Exclusion Order Issued,2/12/25 10:39,"02/12/2025  10:39 - *2/12/25
 *11:08",Valley Life Science Building,Active
25-00412,Lost Prop.: Lost Property,2/12/25 13:28,"02/01/2021  13:28 - 2/12/25
13:28",Stanley Hall,Inactive
25-00413,PRODAM: Property Damage,2/12/25 14:35,"02/07/2025  14:30 - 2/12/25
14:30",Smyth-Fernwald,Inactive
25-00414,484(A): PC; Theft Of Personal Property; Misdemeanor,2/12/25 14:37,"02/11/2025  20:30 - 2/11/25
20:35",2495 Bancroft Wy; MLK Jr. Student Union,Inactive
25-00415,Lost Prop.: Lost Property,2/12/25 14:42,"02/06/2025  12:00 - 2/8/25
 9:00","Campus (Unspecified Campus Location); Campus, Unspecified",Inactive
25-00416,530.5(A): PC; Get Credit/Etc Other's Id; Felony,2/12/25 16:18,"10/01/2024  00:00 - 2/12/25
18:00",5795 Lerner Way,Active
25-00418,314(1): PC; Indecent Exposure; Misdemeanor,2/12/25 18:16,"02/12/2025  10:14 - 2/12/25
10:15",Doe Library #Morrison Lib; Doe Library,Active
25-00419,Caslty: Injury/Illness,2/12/25 23:11,"02/12/2025  23:11 - 2/12/25
23:12",1110 Jackson St; UVA-130,Inactive
25-00441,Caslty: Injury/Illness,2/15/25 3:53,"02/15/2025  03:52 - 2/15/25
 3:53",1950 Oxford St #620; Anchor House,Inactive
25-00442,Found Property: Found Property,2/15/25 12:48,2/15/25 12:48,Sproul Hall; UCPD,Inactive
25-00443,242: PC; Battery On Person; Misdemeanor 422.6(A): PC; Violate Civil Rights By Force Or Threat Of Force; Misdemeanor,2/15/25 14:25,"02/15/2025  14:05 - 2/15/25
14:24",Doe Library,Active
25-00444,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2/15/25 15:49,"02/15/2025  13:06 - 2/15/25
13:08",2227 Piedmont Av; Simpson Center,Active
25-00445,415(3): PC; Offensive Words In Public Place; Misdemeanor Found Property: Found Property *626.10 PC; Possess Weapon/Etc On Campus,2/15/25 16:05,"02/15/2025  15:55 - 2/15/25
16:05",UVA Ballfields,Inactive
25-00446,626.6(A): PC; Nnstdnt Refuse Leave Univ; Misdemeanor 626: Exclusion Order Issued,2/15/25 21:36,"02/15/2025  21:36 - 2/15/25
22:04",Gilman Hall,Closed
25-00447,Found Property: Found Property,2/15/25 22:57,"02/15/2025  21:30 - 2/15/25
22:00",Campus (Unspecified Campus Location),Inactive
25-00448,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,2/15/25 23:39,"02/15/2025  23:39 - 2/15/25
23:40 - 02/16/2025  00:00  -  02/16/2025  23:59",2650 Durant Av; Unit-1 Cheney,Inactive
25-00449,OA-SEXUAL ASSAULT: Outside Assist - Sexual Assault OA-OTHER CRIME: Outside Assist - Other Crime,2/16/25 13:26,"02/16/2025  13:10 - 2/16/25
13:10",Stonewall Fire Tr,Closed
