Incident Type,Location,Date/Time Reported,Date/Time Occurred,Comments / Nature of Fire,Disposition,UCPDI#
Found Property,5311 S. Woodlawn,2/6/25 11:19,2/6/25 11:10,A handgun was found near the public way / UCPD recovered the weapon,Closed,25-00137
Battery,6300 S. University (Parking Lot),2/6/25 8:03,2/6/25 7:54,A physical altercation among students was documented,Open,25-00138
Found Property,5600 S. Woodlawn (Public Way),2/6/25 11:59,2/6/25 9:15,A vehicle license plate was found and turned over to UCPD for safekeeping,Closed,25-00139
Criminal Trespass to Property,900 E. 57th St. (Knapp Center),2/6/25 11:15,2/6/25 11:14,A person that was banned from campus was seen in the building / Subject left before police arrived,Open,25-00140
Found Property,5656 S. Maryland (UCMED),2/6/25 11:00,2/6/25 11:00,A licensed firearm owner (patient) possessing a weapon turned it over to UCPD for safekeeping,Closed,25-00141
Information / Criminal Damage to Property,5200 S. Drexel (Public Way),2/6/25 14:30,2/1/25 4:00 PM to 11:00 PM,Owner reported roof of vehicle parked on the street off-campus was damaged / Referred to CPD,Referred,2025-005793
Traffic Crash / Property Damage / Hit & Run,1155 E. Midway Pl. (Public Way),2/6/25 16:46,2/6/25 8:50 AM to 4:50 PM,"A motorist struck a parked, unattended vehicle, but did not file a report",Open,25-00142
Theft,5530 S. Ellis (Ratner A.C. Bike Rack),2/6/25 17:36,2/6/25 4:30 PM to 5:35 PM,Secured bicycle taken from bike rack,Open,25-00143
Harassment by Electronic Means,5815 S. Maryland (Mitchell Hospital),2/6/25 18:10,2/1/25 to 2/6/25 12:00 AM to 6:10 PM,Harassing emails documented,Open,25-00144
Information / Armed Robbery,5400 S. Ellis (Public Way),2/6/25 22:30,2/6/25 22:25,"Three unknown suspects, armed with handguns, took property from a victim walking on the sidewalk off-campus CPD case JJ141350",CPD,2025-005851
Information / Criminal Damage to Property,Woodlawn between 61st & 62nd,2/7/25 0:36,2/7/25 0:30,Unknown subject threw an object breaking a window in off-campus building / CPD case,CPD,2025-005863
Information / Theft,1554 E. 55th St. (Walgreens),2/7/25 3:15,2/7/25 3:15,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-005872
Information / Aggravated Battery,4526 S. Drexel (Public Way),2/7/25 4:53,2/7/25 4:45,Two victims sustained gunshot wounds while sitting in their vehicle on the street off-campus / CPD case JJ141456,CPD,2025-005876
Found Property,850 E. 61st St. (UCPD HQ),2/7/25 9:05,2/7/25 8:50,Cell phone found on UC Shuttle bus turned over to UCPD for safekeeping,Closed,25-00145
Theft,5228 S. Lake Park (Ulta),2/7/25 11:19,2/7/25 11:14,An unknown subject took merchandise from the off-campus store without paying,Open,25-00146
Information / Theft,5550 S. Dorchester (Public Way),2/7/25 11:26,2/6/25 12:00,Person reported a license plate was taken from their vehicle / Referred to CPD,Referred,2025-005921
Motor Vehicle Theft,1000 E. Midway Pl. (Public Way),2/7/25 16:52,2/7/25 3:40 PM to 4:00 PM,A parked and secured 2016 Infiniti taken,Open,25-00147
DUI,5615 S. Dorchester (Public Way),2/7/25 22:35,2/7/25 22:34,"Subsequent to a traffic crash, UCPD officer arrested a motorist for DUI",Arrest,25-00148
Unlawful Possession of Firearms,5700 S. Harper (Public Way),2/8/25 2:28,2/8/25 2:28,UCPD officer observed 4 unknown subjects displaying firearms on the street off-campus / Suspects entered a waiting vehicle and fled from police,Open,25-00149
Liquor Law Violation,5630 S. University (Max Palevsky RH),2/8/25 3:46,2/8/25 3:46,An underage individual became ill after consuming alcoholic beverages and was transported to UCMED by CFD EMS,Referred,25-00150
Battery,5540 S. Hyde Park,2/8/25 9:28,2/8/25 9:22,A UCPD officer was battered by suspect / Suspect charged with felony aggravated battery to police officer,Arrest,25-00151
Found Property,5656 S. Maryland (UCMED),2/8/25 14:10,2/8/25 14:00,A firearm magazine containing ammunition was found on the person of a patient being admitted / Property turned over to UCPD for safekeeping,Closed,25-00152
Information / Theft,Dorchester between 51st & 52nd,2/8/25 13:44,2/6/25 to 2/7/25 6:00 PM to 1:00 PM,License plate taken from vehicle parked in driveway of off-campus residence / Referred to CPD,Referred,2025-006075
Public Peace Violation,1116 E. 59th St. (Harper Library),2/9/25 12:41,2/9/25 12:27,An unknown person was exposed in the hallway of the building,Open,25-00153
Information,850 E. 61st St. (UCPD HQ),2/9/25 15:32,1/7/24 to 2/5/25,Unknown person hacked victim's Gmail account,Open,25-00154
Medical Call,1156 E. 61st St. (Woodlawn R.C.),2/9/25 23:43,2/9/25 23:43,A person in need of medical care was transported to UCMED by CFD EMS,Closed,25-00155
Information / Theft,1554 E. 55th St. (Walgreens),2/10/25 10:52,2/10/25 10:50,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-006293
Theft,924 E. 57th St. (BSLC Bike Rack),2/10/25 20:10,2/10/25 9:00 AM to 6:30 PM,Secured bicycle taken from bike rack,Open,25-00156
Mental Health Transport,1554 E. 55th St. (Walgreens),2/10/25 20:19,2/10/25 20:19,A person was transported to UCMED by UCPD for evaluation,Closed,25-00157
Void,Void,Void,Void,Number generated in error,Void,25-00158
Information / Burglary,Kenwood between 56th & 57th,2/10/25 21:30,2/10/25 5:10 PM to 8:30 PM,Unknown person(s) unlawfully entered victim's off-campus private apartment and took property / CPD case JJ145622,CPD,2025-006366
Theft,1554 E. 55th St. (Walgreens),2/11/25 0:47,2/11/25 0:47,A subject took merchandise from the off-campus store without paying / Suspect located and arrested by UCPD officer,Arrest,25-00159
Assist Other Agency,5200 S. Payne Dr. (Public Way),2/11/25 11:16,2/11/25 11:16,UCPD officers assisted CPD in detaining three suspects wanted by CPD,CPD,25-00160
Mental Health Transport,1525 E. 55th St. (Deco Arts Bldg.),2/11/25 15:17,2/11/15 15:16,A subject was transported by UCPD to UCMED for evaluation,Closed,25-00161
Found Property,850 E. 61st St. (UCPD HQ),2/11/25 16:33,2/11/25 16:19,Various items found on UC Shuttle Bus were turned over to UCPD for safekeeping,Closed,25-00162
Medical Call,840 E. 59th St. (Student Wellness),2/12/25 15:31,2/12/25 15:30,A person in need of medical attention was transported to UCMED by UCPD,Closed,25-00163
Medical Call,1554 E. 55th St. (Walgreens),2/12/25 23:56,2/12/25 23:55,A person in need of medical attention was transported to UCMED by UCPD,Closed,25-00164
Medical Call,1362 E. 59th St. (Public Way),2/13/25 10:16,2/13/25 10:09,A person in need of medical attention was transported to UCMED by UCPD,Closed,25-00166
Criminal Damage to Property,5500 S. University (Baker Dining Hall),2/13/25 15:31,2/10/25 20:45,One contract employee threw and damaged another employee's cell phone / Follow up investigation revealed no criminal damage was involved,Unfounded,25-00167
Lost Property,6031 S. Ellis (Granville-Grossman RH),2/13/25 17:51,2/13/25 9:00,A package delivered by Amazon was lost,Closed,25-00168
Theft,5550 S. University (Crown Field House),2/13/25 22:15,2/13/25 9:00 PM to 9:40 PM,"An unattended, unsecured phone left on a chair was taken",Open,25-00169
Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),2/14/25 2:05,2/14/25 2:04,An underage individual became ill after consuming alcoholic beverages and was transported to UCMED by CFD EMS,Referred,25-00170
Theft,1346 E. 53rd St. (Target),2/14/25 8:17,2/14/25 8:15,A subject took merchandise from the off-campus store without paying / Suspect located and arrested by UCPD officer,Arrest,25-00171
Criminal Trespass to Property,5225 S. Harper (Hyatt Place),2/14/25 7:46,2/14/25 7:30,An unauthorized individual ignored repeated warnings and was arrested for trespass,Arrest,25-00172
Information / Criminal Damage to Vehicle,5213 S. Kimbark (Alley),2/14/25 11:38,2/13/25 to 2/14/25 11:30 PM to 11:00 AM,Window smashed in vehicle parked in alley off-campus / Referred to CPD,Referred,2025-006878
Found Narcotics,5656 S. Maryland (UCMED),2/15/25 2:54,2/15/25 2:31,A UCM staff member found suspect narcotics among a patient's belongings and turned the contraband over to UCPD for proper disposal,Closed,25-00173
Information,1100 E. 57th St. (Mansueto Library),2/15/25 5:24,2/15/25 5:24,A UCPD officer observed a person climbing the exterior of the building / Subject safely climbed down,Referred,25-00174
Information / Theft,1346 E. 53rd St. (Target),2/15/25 13:13,2/15/25 0:00,A known subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-006988
Information / Armed Robbery,1314 E. 56th St. (Alley),2/15/25 14:22,2/15/25 14:20,Three unknown subjects struck victim with a blunt object and took property before fleeing / CPD case,CPD,2025-006992
Traffic Crash / Property Damage / Hit & Run,1418 E. 53rd St. (Parking Lot),2/16/25 1:06,2/15/25 19:34,A motorist backed into another vehicle in the off-campus parking lot and fled the scene,Open,25-00175
Battery,5700 S. Maryland (CCD),2/16/25 8:31,2/16/25 7:20,One UCM employee brushed against a co-worker while at a nursing station / No crime occurred,Unfounded,25-00176
Information / Criminal Trespass to Vehicle,5512 S. Kenwood (Public Way),2/16/25 8:11,2/8/25 to 2/9/25 7:00 PM to 7:00 PM,Unknown subject entered unsecured vehicle parked off-campus and scattered property / Referred to CPD,Referred,2025-007084
Information / Theft,1346 E. 53rd St. (Target),2/16/25 15:22,2/16/25 15:20,Two unknown suspects took property from the off-campus store without paying / Referred to CPD,Referred,2025-007127
Assault,5815 S. Maryland (Mitchell Hospital),2/17/25 7:59,2/17/25 7:50,A patient threatened a UCM staff member with bodily harm / Victim declined prosecution,Ex. Cleared,25-00177
Information / Theft,5252 S. Cornell (Garage),2/17/25 16:08,2/17/25 16:00,Window smashed in vehicle parked in off-campus garage and property was taken / Referred to CPD,Referred,2025-007258
Domestic Battery,5700 S. Maryland (CCD),2/18/25 8:48,2/18/25 8:47,"During the course of an argument, ex-boyfriend struck victim with his hand / Suspect fled before police were notified / Subsequent to investigation, victim declined prosecution",Ex. Cleared,25-00178
Information / Aggravated Assault,5220 S. Lake Park (McDonalds),2/18/25 10:57,2/18/25 10:55,An unknown suspect displayed a box cutter and threatened a store employee / Suspect fled before police arrival / CPD case,CPD,2025-007351
Found Narcotics,5815 S. Maryland (Mitchell Hospital),2/18/25 13:33,2/18/25 13:27,A UCM staff member found narcotics in a patient's room / Contraband turned over to UCPD for proper disposal,Closed,25-00179
Non-Criminal Damage to Property,5900 S. Ellis (Public Way),2/18/25 14:50,2/17/25 15:43,Minor damage was found on a UC owned vehicle,Closed,25-00180
Theft,1554 E. 55th St. (Walgreens),2/18/25 13:42,2/18/25 13:42,A subject took merchandise from the off-campus store without paying and was located and arrested by a UCPD officer,Arrest,25-00181
Medical Call,6031 S. Ellis (Granville-Grossman RH),2/19/25 0:12,2/19/25 0:12,A person in need of medical attention was transported to UCMED by CFD EMS,Closed,25-00182
Public Peace Violation / Bomb Threat,850 E. 61st St. (UCPD HQ),2/19/25 10:38,2/19/25 9:29,An anonymous email was received regarding a bomb threat,Open,25-00183
Information,1116 E. 59th St. (Harper Library),2/19/25 10:41,2/19/25 10:38,"A person reported annoying, unwanted email messages and text received from known persons",Closed,25-00184
Theft,5228 S. Lake Park (Ulta),2/19/25 12:15,2/19/25 12:01,An unknown subject took merchandise from the off-campus store without paying,Open,25-00185
Theft,1554 E. 55th St. (Walgreens),2/19/25 11:56,2/19/25 11:55,A subject took merchandise from the off-campus store without paying and was located and arrested by UCPD officer,Arrest,25-00186
Medical Call,Kimbark between 53rd & 54th,2/19/25 15:44,2/19/25 15:43,A person in need of medical attention was transported to UCMED by CFD EMS,Closed,25-00187
Theft,1346 E. 53rd St. (Target),2/19/25 17:12,2/19/25 17:12,A juvenile was stopped by employee before leaving the off-campus store with merchandise / No theft occurred,Unfounded,25-00188
Void,Void,Void,Void,Number generated in error,Void,25-00189
Information / Theft,5145 S. Kimbark (Public Way),2/19/25 19:35,2/19/25 7:10,"Unattended, unsecured canvas bag was taken by unknown person / Referred to CPD",Referred,2025-007548
Found Property,850 E. 61st St. (UCPD HQ),2/20/25 10:54,2/20/25 10:54,A cell phone found on a UC Shuttle bus was turned over to UCPD / Owner was contacted and property returned,Closed,25-00190
Battery,950 E. 59th St. (Billings Hospital),2/20/25 12:11,2/20/25 11:49,One UCM staff member struck another employee,Open,25-00191
Battery,5656 S. Maryland (UCMED),2/20/25 13:07,2/20/25 13:07,"A troubled patient, being restrained, struck a UCM staff member with his hand / Victim declined prosecution",Ex. Cleared,25-00192
Missing Person,5730 S. Drexel (Comer Hospital),2/20/25 21:49,2/20/25 19:25,A patient fled the hospital without authorization,Open,25-00193
Domestic Battery,Hyde Park between 55th & 56th,2/21/25 3:30,2/21/25 3:29,Boyfriend battered girlfriend in off-campus private apartment / Suspect arrested by UCPD officers,Arrest,25-00194
Accidental Injury,5550 S. University (Crown Field House),2/21/25 20:03,2/21/25 20:00,An athlete fell during an event and was injured / Person transported to UCMED by CFD EMS,Closed,25-00195
Information / Theft from Motor Vehicle,5740 S. Kenwood (Public Way),2/22/25 3:56,2/22/25 3:55,Catalytic converter taken from 2008 Toyota Prius parked on the street off-campus / Referred to CPD,Referred,2025-007864
Information / Armed Robbery,1616 E. 56th St. (Driveway),2/22/25 4:31,2/22/25 4:20,"Five unknown suspects, armed with handguns, took property from a victim off-campus / CPD case JJ157709",CPD,2025-007866
Information / Criminal Damage to Vehicle,5300 S. Shore Dr. (Public Way),2/22/25 7:58,2/21/25 to 2/22/25 5:00 PM to 7:55 AM,Window smashed in vehicle parked on the street off-campus / Referred to CPD,Referred,2025-007874
Assist Other Agency / Aggravated Domestic Battery,6025 S. Harper,2/22/25 10:13,2/22/25 10:00,"During a domestic argument, boyfriend shot girlfriend / UCPD officers assisted CPD in taking the suspect into custody CPD case JJ157897",CPD,25-00196
Information / Theft from Motor Vehicle,1517 E. 57th St. (Public Way),2/22/25 15:38,2/9/25 to 2/20/29 5:00 AM to 6:30 PM,Catalytic converter taken from 2005 Toyota Prius parked on the street off-campus / Referred to CPD,Referred,2025-007936
Medical Call,5500 S. University (Campus North RH),2/22/25 23:45,2/22/25 23:43,A person in need of medical care was transported to UCMED by CFD EMS,Closed,25-00197
DUI,5900 S. Stony Island (Public Way),2/23/25 2:55,2/23/25 2:55,UCPD officer arrested a motorist for DUI,Arrest,25-00198
Information / Theft,1228 E. 53rd St. (CVS),2/23/25 3:08,2/23/25 3:03,Three unknown subjects took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-008008
Information / Criminal Trespass to Vehicle,5512 S. Kenwood (Public Way),2/23/25 7:23,2/9/25 5:30 AM to 7:00 AM,Unknown person(s) entered unsecured vehicle parked on the street off-campus and scattered property about / Referred to CPD,Referred,2025-008019
Domestic Battery,5700 S. Maryland (CCD),2/23/25 10:04,2/23/25 9:00,"During a domestic argument, one sibling struck another with a fist / Victim declined prosecution",Ex. Cleared,25-00199
Information / Armed Robbery,6300 S. Kimbark (Public Way),2/23/25 10:41,2/23/25 10:30,Three unknown subjects armed with firearms took property from a victim on the sidewalk off-campus before fleeing to a waiting vehicle / CPD located vehicle at 74th & Indiana and took all three suspects into custody,CPD,2025-008044
Missing Person,Drexel between 61st & 62nd,2/23/25 11:18,2/23/25 11:00,Juvenile reported missing by family / Subject located and returned to family,Closed,25-00200
Found Property,850 E. 61st St. (UCPD HQ),2/24/25 11:41,2/24/25 11:40,Keys and fob turned over to UCPD for safekeeping,Closed,25-00201
Information / Theft,1554 E. 55th St. (Walgreens),2/24/25 12:37,2/24/25 12:25,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-008169
Mental Health Transport,860 E. 59th St. (Goldblatt Hospital),2/24/25 16:42,2/24/25 16:41,A person was transported by UCPD to UCMED for evaluation,Closed,25-00202
Information / Theft,1554 E. 55th St. (Walgreens),2/25/25 6:36,2/25/25 6:30,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-008275
Non-Criminal Damage to Property,6301 S. Dorchester (Parking Lot),2/25/25 9:11,2/25/25 9:11,Minor damage to UC owned vehicle documented,Closed,25-00203
Theft,1346 E. 53rd St. (Target),2/25/25 10:09,2/25/25 10:05,A subject took merchandise from the off-campus store without paying / Suspect located and arrested by UCPD officer,Arrest,25-00204
Battery,6300 S. University (Woodlawn Charter School),2/25/25 12:51,2/21/25 15:00,Delayed report of students involved in a physical altercation / School administration to handle discipline,Ex. Cleared,25-00205
Information,1100 E. 57th St. (Regenstein Library),2/25/25 20:28,2/25/25 20:00,"""Fog machine"" used in an event triggered fire alarm / No fire / CFD responded",Closed,25-00206
Assist Other Agency / Theft,5102 S. Lake Park (Marshalls),2/25/25 20:36,2/25/25 20:30,A subject took merchandise from the off-campus store without paying / Suspect located and detained by UCPD officer / Arrested by CPD,CPD,25-00207
Theft,1554 E. 55th St. (Walgreens),2/25/25 23:55,2/25/25 23:50,Management reported a subject left the off-campus store with merchandise without paying / Subject detained by UCPD but did not have merchandise / No crime occurred,Unfounded,25-00209
Assault,5656 S. Maryland (UCMED),2/26/25 0:30,2/25/25 22:30,A patient threatened a UCM staff member with bodily harm / Victim declined prosecution,Ex. Cleared,25-00208
Information,5800 S. Greenwood (Main Quad),2/26/25 7:28,2/26/25 7:17,Unknown person(s) scrawled graffiti in chalk in the Quad and adjacent buildings,Closed,25-00210
Information / Email Threat,5238 S. Harper (Theater),2/26/25 9:14,2/26/25 8:24,Employee received an email regarding a bomb threat / Referred to CPD,Referred,2025-008444
Information,6300 S. University (Woodlawn Charter School),2/26/25 10:59,2/26/25 10:58,False fire alarm / CFD responded,Closed,25-00211
Information,1111 E. 60th St. (Parking Lot),2/26/25 11:29,2/26/25 11:29,Damage to UC owned vehicle documented,Closed,25-00212
Void,Void,Void,Void,Number generated in error,Void,25-00213
Void,Void,Void,Void,Number generated in error,Void,25-00214
Battery,5700 S. Maryland (CCD),2/26/25 17:03,2/26/25 9:30,A challenged patient struck a UCM staff member with his hand / Victim declined prosecution,Ex. Cleared,25-00215
Battery,5700 S. Maryland (CCD),2/26/25 19:19,2/26/25 19:19,During a verbal disagreement one person struck the other / Suspect arrested by UCPD officer,Arrest,25-00216
Assist Other Agency / Armed Robbery,5100 S. Shore Dr. (Public Way),2/26/25 21:32,2/26/25 21:30,Three victims were approached by an unknown suspect on the street off-campus / The suspect armed with a handgun took property from the victims before fleeing on foot / CPD case JJ163206,CPD,25-00217
Traffic Crash / Hit & Run,5812 S. Ellis (Public Way),2/27/25 10:30,2/24/25 to 2/25/25 7:00 PM to 8:30 AM,Unknown motorist struck a vehicle parked on the street but failed to make a report,Open,25-00218
Motor Vehicle Theft,936 E. 60th St. (Public Way),2/27/25 11:13,2/27/25 10:55,2018 Kia Sorrento taken,Open,25-00219
Medical Illness,850 E. 61st St. (UCPD HQ),2/27/25 13:30,2/11/25 to 2/26/26 12:00 PM to 1:00 PM,A person was transported to UCMED for evaluation,Closed,25-00220
Information / Theft,1554 E. 55th St. (Walgreens),2/27/25 14:14,2/27/25 14:10,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-008584
Liquor Law Violation,5630 S. University (Max Palevsky RH),2/27/25 23:36,2/27/25 23:33,An underage person became ill after consuming alcoholic beverages and was transported to UCMED by CFD EMS,Referred,25-00221
Assault,5850 S. Dorchester (Public Way),2/28/25 0:18,2/27/25 23:51,A person reported they were assaulted by another person / Preliminary investigation revealed no assault occurred,Unfounded,25-00222
Theft,5845 S. Blackstone (Public Way),2/28/25 8:39,2/28/25 7:10,Unknown persons broke the window of a vehicle parked on the street and took property,Open,25-00223
Found Property,1144 E. Midway Pl. (Public Way),2/28/25 8:48,2/28/25 8:48,A key chain and one key found and turned over to UCPD for safekeeping,Closed,25-00224
Void,Void,Void,Void,Number generated in error,Void,25-00225
Information / Deceptive Practice / Fraud,850 E. 61st St. (UCPD HQ),2/28/25 9:21,2/2/25 to 2/26/25 times unknown,A person reported being victimized in a fraud scheme off-campus by three unknown subjects / Referred to CPD,Referred,2025-008672
Information / Theft,1554 E. 55th St. (Walgreens),2/28/25 10:55,2/28/25 10:04,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-008684
Information,1156 E. 61st St. (Woodlawn Commons Caf�),2/28/25 13:40,2/23/25 to 2/24/25 2:00 PM to 9:00 PM,Information relating to a possible theft from employees locker documented,Closed,25-00226
Information / Theft,1346 E. 53rd St. (Target),2/28/25 14:45,2/28/25 14:43,A known subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-008711
Theft,5228 S. Lake Park (Ulta),2/28/25 15:03,2/28/25 15:03,Two unknown subjects took merchandise from the off-campus store without paying,Open,25-00227
Found Property,850 E. 61st St. (UCPD HQ),2/28/25 17:23,2/28/25 17:23,Wallet found on the public way off-campus was turned over to UCPD for safekeeping,Closed,25-00228
Armed Robbery,5800 S. Dorchester (Public Way),3/1/25 5:19,3/1/25 5:15,Three people walking on the sidewalk were confronted by 4-5 unknown suspects armed with handguns / The suspects demanded and took property from the victims before fleeing to a white Alfa Romeo and driving off,Open,25-00229
Harassment by Telephone,6031 S. Ellis (Granville-Grossman RH),3/1/25 13:08,2/28/25 9:19 PM to 10:40 PM,Harassing telephone calls documented,Open,25-00230
Traffic Arrest,5700 S. Payne Dr. (Public Way),3/1/25 16:05,3/1/25 16:05,Traffic arrest documented,Arrest,25-00231
Found Property,1128 E.54th Pl. (Public Way),3/1/25 19:59,3/1/25 19:20,Keys and key fob found and returned to owner,Closed,25-00232
Possession of Narcotics / Unlawful Possession of a Weapon,5729 S. Kimbark (Public Way),3/1/25 23:34,3/1/25 23:34,UCPD officers arrested a suspect for felony possession of a firearm and felony possession of narcotics,Arrest,25-00233
Assault,1554 E. 55th St. (Walgreens),3/2/25 7:11,3/2/25 7:11,A suspect placed a victim in fear of receiving bodily harm and was arrested by UCPD officer,Arrest,25-00234
Battery,5656 S. Maryland (UCMED),3/2/25 12:21,3/2/25 12:30,UCM staff member struck by troubled patient during treatment / Victim declined prosecution,Ex. Cleared,25-00235
Theft,1554 E. 55th St. (Walgreens),3/2/25 13:25,3/2/25 13:25,A subject took merchandise from the off-campus store without paying / Suspect located and arrested by UCPD officer,Arrest,25-00236
Mental Health Transport,6031 S. Ellis (Granville-Grossman RH),3/3/25 0:47,3/2/25 23:50,A person was transported to UCMED for evaluation,Closed,25-00237
Found Property,850 E. 61st t. (UCPD HQ),3/3/25 8:28,3/3/25 8:28,Several items of property found on UC Shuttle Buses turned over to UCPD for safekeeping,Closed,25-00238
DUI,5309 S. Woodlawn (Public Way),3/3/25 8:18,3/3/25 8:18,A UCPD officer arrested a motorist for felony DUI,Arrest,25-00239
Information / Theft from Motor Vehicle,1347 E. 54th St. (Alley),3/3/25 9:32,3/2/25 4:10,Catalytic converter taken from 2013 Volkswagen parked in the alley off-campus / CPD case JJ166869,CPD,2025-009157
Information / Non-Criminal Damage to Property,1306 E. 61st St. (Parking Garage),3/3/25 13:57,3/3/25 13:56,Water pipe burst / Facilities and Safety on scene,Closed,25-00240
Battery / Indecent Exposure,1116 E. 59th St. (Harper Library),3/3/25 17:03,3/3/25 16:50,A subject inappropriately touched a person in the hallway before fleeing / Suspect located and arrested by UCPD officer,Arrest,25-00241
Information / Theft,1346 E. 53rd St. (Target),3/3/25 17:38,3/3/25 17:25,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-009198
Information,5656 S. Maryland (UCMED),3/3/25 20:05,3/3/25 18:30,Interaction between UCM staff member and patient documented,Closed,25-00242
Information,929 E. 57th St. (Gordon Center),3/3/25 22:32,3/3/25 22:26,A person believed they had spilled a small amount of chemical in lab / CFD responded and found no evidence of spill / Medical treatment declined,Closed,25-00243
Damage to Property,1100 E. 57th St. (Regenstein Library),3/4/25 8:13,3/3/25 to 3/4/25 6:00 PM to 7:00 AM,Loading dock door damaged / Cause unknown at this time,Closed,25-00244
Information / Theft,1554 E. 55th St. (Walgreens),3/4/25 8:17,3/4/25 8:15,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-009318
Found Property,850 E. 61st St. (UCPD HQ),3/4/25 10:04,3/4/25 10:00,Cell phone found and turned over to UCPD for safekeeping,Closed,25-00245
Theft,5751 S. Woodlawn (Plein Air Caf�),3/4/25 10:16,3/4/25 8:20 AM to 9:00 AM,Unsecured wallet taken from table top,Open,25-00246
Theft,5758 S. Maryland (DCAM Caf�),3/4/25 10:35,3/4/25 10:34,A person took food from the caf� without paying / Food was later paid for and management declined prosecution,Ex. Cleared,25-00247
Theft,5815 S. Maryland (Mitchell Hospital),3/4/25 13:06,3/4/25 12:00,A patient's cell phone and cash taken by a family member,Open,25-00248
Found Property,5656 S. Maryland (UCMED),3/4/25 14:26,3/4/25 14:24,Suspect marijuana found by UCM staff member was turned over to UCPD for proper disposal,Closed,25-00249
Information / Armed Robbery,Berkeley between 44th & 45th (Porch),3/4/25 15:50,3/4/25 13:11,"Two unknown suspects, armed with firearms, took property from a victim sitting on a porch off-campus / Suspects also took the victim's car parked on the street / CPD case JJ169055",CPD,2025-009359
Information / Theft,5220 S. Lake Park (Parking Lot),3/5/25 9:02,3/5/25 9:00,A person took a backpack and fled / CPD case JJ169905,CPD,2025-009480
Accidental Injury,5645 S. Maryland (Construction Site),3/5/25 9:57,3/5/25 8:00,Construction worker sustained an injury to his hand and checked into UCMED for treatment,Closed,25-00250
Information / Aggravated Domestic Assault,Drexel between 52nd & 53rd,3/5/25 10:20,3/5/25 10:20,During the course of a domestic disagreement ex-boyfriend pointed a handgun at the victim / CPD case JJ169992,CPD,2025-009488
Injured Person,5900 S. Cottage Grove (Public Way),3/5/25 10:27,3/5/25 10:27,A person fell while walking on the sidewalk and sustained a laceration to forehead / Transported to UCMED by CFD EMS,Closed,25-00251
Found Narcotics,5700 S. Maryland (CCD),3/5/25 11:08,3/5/25 11:04,A UCM staff member was handed narcotics by a patient / Contraband turned over to UCPD for proper disposal,Closed,25-00252
Mental Health Transport,5721 S. Maryland (Comer Hospital),3/5/25 14:02,3/5/25 14:02,A person was transported to UCMED for evaluation,Closed,25-00253
Battery,5721 S. Maryland (Comer Hospital),3/5/25 17:25,3/4/25 9:00,A UCM staff member reported that they were struck in the face by a patient,Open,25-00254
Traffic Crash / Hit & Run / Minor Personal Injury,1305 E. 55th St. (Public Way),3/5/25 19:27,3/5/25 19:15,A person crossing the street was struck and knocked to the ground by a vehicle that did not stop,Open,25-00255
Battery,5700 S. Maryland (CCD),3/5/25 20:45,3/5/25 20:40,"During the course of an argument, one person struck the other with a cane / Suspect fled before police arrived",Open,25-00256
Damage to Vehicle,5656 S. Maryland (Public Way),3/6/25 8:45,3/6/25 7:15 AM to 8:45 AM,Minor damage reported on UC owned vehicle,Closed,25-00257
Harassment by Electronic Means,1156 E. 61st St. (Woodlawn RC),3/6/25 13:59,3/5/25 to 3/6/25 9:00 PM to 2:22 PM,"Harassing, unwanted text messages documented",Open,25-00258
Found Property,5656 S. Maryland (UCMED),3/6/25 12:59,3/6/25 12:30,A stun gun and a folding knife recovered from a patient was turned over to UCPD,Closed,25-00259
Theft,1100 E. 58th St. (Ryerson Bike Rack),3/6/25 15:47,3/1/25 to 3/5/25 1:00 PM to 4:00 PM,Secured electric scooter taken from bike rack,Open,25-00260
Information / Theft,1554 E. 55th St. (Walgreens),3/6/25 15:37,3/6/25 15:30,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-009691
Domestic Battery,5730 S. Drexel (Comer Hospital),3/6/25 22:26,3/6/25 22:25,Girlfriend and boyfriend involved in physical altercation,Open,25-00261
Domestic Battery,5700 S. Maryland (CCD),3/7/25 9:29,3/7/25 9:10,Ex-boyfriend struck victim with an object and fled the scene before police were called,Open,25-00262
Information,5700 S. Maryland (CCD),3/7/25 11:09,3/6/25 17:15,Information regarding medical waste found outside UCPD area,Closed,25-00263
Deceptive Practice / Impersonation,5525 S. Ellis (Maroon Financial),3/7/25 16:04,3/7/25 14:55,An unknown suspect attempted to make a withdrawal by presenting fictitious ID / Suspect fled before police were called,Open,25-00264
