Incident Type,Case Number,Date/Time Reported,Date/Time Occurred,Location,Disposition
Petty Theft - All Other Larceny (M),25-0307,3/4/25 16:22,3/4/25 13:00,"Herman T. Spieth Hall, 900 Block Of University Ave",Suspended/pending Further Leads
Public Service,2503040079,3/4/25 13:53,,"Police Building, 3500 Block Of Canyon Crest Dr",Completed
Assist Other Department,2503040070,3/4/25 11:50,,90600 Block Of Chicago Ave,Completed
Traffic Stop,2503040069,3/4/25 11:27,,116700 Block Of Iowa Ave,Warning (Verbal)
Information,2503040059,3/4/25 10:39,,"Glasgow Dining, 600 Block Of Linden St",Log Note Only
Public Service,2503040058,3/4/25 10:31,,"Parking Lot 30, 900 Block Of University Ave",Public Assist
Found Property,2503040051,3/4/25 9:23,,"Police Building, 3500 Block Of Canyon Crest Dr",Report Taken
Information,2503040048,3/4/25 8:23,,"Police Building, 3500 Block Of Canyon Crest Dr",Log Note Only
Traffic Stop,2503040033,3/4/25 4:37,,,Warning (Verbal)
Vehicle Check,2503040028,3/4/25 4:15,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Public Service,2503040012,3/4/25 2:07,,"Glenmor Market, 400 Block Of Big Springs Rd",Completed
Building Check,2503040011,3/4/25 2:05,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Traffic Stop,2503030109,3/3/25 23:27,,,Cite Issued
Flagdown,2503030105,3/3/25 23:04,,"Food 4 Less, 3900 Block Of Chicago Ave",Completed
Cso Services,2503030103,3/3/25 22:42,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2503030099,3/3/25 22:41,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Cso Services,2503030100,3/3/25 22:41,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Cso Services,2503030102,3/3/25 22:41,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Cso Services,2503030098,3/3/25 22:40,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Theft Of Personal Property - Motor Vehicle Parts/accessories (M),25-0303,3/3/25 22:17,3/3/25 13:00,"Parking Lot 28, 900 Block Of University Ave",Suspended/pending Further Leads
Petty Theft - All Other Larceny (M),25-0302,3/3/25 19:38,3/3/25 18:30,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Suspended/pending Further Leads
Public Service,2503030070,3/3/25 18:41,,"Skye Hall, 900 Block Of University Ave",Completed
Pedestrian Check,2503030069,3/3/25 18:35,,"Parking Lot 24, 900 Block Of University Ave",Completed
Cso Services,2503030066,3/3/25 18:02,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2503030067,3/3/25 18:02,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Information,2503030063,3/3/25 17:29,,"Police Building, 3500 Block Of Canyon Crest Dr",Log Note Only
Public Service,2503030061,3/3/25 16:45,,"Herbert John Webber Hall, 900 Block Of University Ave",Completed
Medical Aid,2503030057,3/3/25 15:39,,"Parking Lot 6, 900 Block Of University Ave",Report Taken
Information,2503030056,3/3/25 15:06,,,Referred To Other Agency
Assist Other Department,2503030053,3/3/25 14:23,,100 Block Of Broadbent Dr,Report Taken
Fire Alarm,2503030051,3/3/25 13:40,,"Stonehaven Apartments, 3200 Block Of Canyon Crest Dr",False Alarm: Human Activation
Video/photo Bed/bthrm/etc (M),25-0299,3/3/25 13:31,3/3/25 13:19,"Marlan & Rosemary Bourns Hall, 900 Block Of University Ave",Suspended/pending Further Leads
Medical Aid,2503030047,3/3/25 11:43,,"Glasgow Dining, 600 Block Of Linden St",Report Taken
Flagdown,2503030046,3/3/25 11:36,,"Parking Lot 27, 900 Block Of University Ave",Completed
Public Service,2503030044,3/3/25 11:23,,"Police Building, 3500 Block Of Canyon Crest Dr",Public Assist
Restraining Order,2503030043,3/3/25 11:08,,"Police Building, 3500 Block Of Canyon Crest Dr",Report Taken
Assist Other Department,2503030042,3/3/25 10:43,,"Police Building, 3500 Block Of Canyon Crest Dr",Report Taken
Electr Dist Harrass Matrl (M),25-0294,3/3/25 9:27,2/23/2025 12:00 AM - 3/3/2025 12:00 AM,900 Block Of University Ave,Completed
Information,2503030035,3/3/25 8:29,,"Police Building, 3500 Block Of Canyon Crest Dr",Report Taken
Burglary - Burglary/breaking And Entering (F),25-0293,3/3/25 8:00,2/28/2025 5:00 PM - 3/3/2025 7:30 AM,"1420 Iowa-ucr Pd To Respond, 1400 Block Of Iowa Ave",Suspended/pending Further Leads
Fire Alarm,2503030031,3/3/25 6:51,,"Glasgow Dining, 600 Block Of Linden St",False Alarm: Human Activation
Traffic Stop,2503030011,3/3/25 2:07,,,Warning (Verbal)
Pedestrian Check,2503030006,3/3/25 1:15,,"Duke's Bar & Grill, 3200 Block Of Iowa Ave",Warning (Verbal)
Building Check,2503030002,3/3/25 0:55,,"Vivarium 2 (Spieth Hall Basement), 900 Block Of University Ave",Completed
Public Service,2503020081,3/2/25 23:10,,"Parking Lot 19, 900 Block Of University Ave",Completed
Traffic Stop,2503020078,3/2/25 23:03,,,Cite Issued
Building Check,2503020075,3/2/25 22:59,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Welfare Check,2503020067,3/2/25 21:58,,"North District Bldg A, 700 Block Of Linden St",Completed
Petty Theft - All Other Larceny (M),25-0292,3/2/25 21:20,3/2/25 19:48,"Student Recreation Center North, 900 Block Of University Ave",Referred To Detective Division
Building Check,2503020054,3/2/25 20:28,,"Geology Building, 900 Block Of University Ave",Completed
Building Check,2503020050,3/2/25 19:20,,"Herbert John Webber Hall, 900 Block Of University Ave",Completed
Building Check,2503020049,3/2/25 18:17,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Building Check,2503020048,3/2/25 17:10,,"Herman T. Spieth Hall, 900 Block Of University Ave",Completed
 County Misdemeanor Warrant,25-0291,3/2/25 16:28,3/2/2025 4:38 PM - 3/2/2025 4:38 PM,,Cleared By Arrest
Building Check,2503020044,3/2/25 15:55,,"1420 Iowa-ucr Pd To Respond, 1400 Block Of Iowa Ave",Completed
911 Call,2503020041,3/2/25 14:40,,"Dundee Residence Hall, 600 Block Of Linden St",Resources Offered For Mental Health
Petty Theft - All Other Larceny (M),25-0289,3/2/25 14:13,3/1/2025 10:00 PM - 3/2/2025 1:00 AM,"Multidisciplinary Research Building 1, 900 Block Of University Ave",Refer To District Attorneys Office
Traffic Stop,2503020029,3/2/25 12:02,,"Big Springs Parking Structure #2, 900 Block Of University Ave",Warning (Verbal)
Vehicle Check,2503020019,3/2/25 11:03,,"Fleet Services, 3400 Block Of Watkins Dr",Completed
Information,2503020013,3/2/25 10:25,,90100 Block Of Canyon Crest Dr,Completed
Information,2503020011,3/2/25 9:06,,"Highlander Union Building, 900 Block Of University Ave",Log Note Only
Fire Alarm,2503020006,3/2/25 7:40,,"International Village Apartments, 1100 Block Of Everton Pl",False Alarm: Human Activation
Medical Aid,2503020005,3/2/25 4:31,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Fire Responded
 County Felony Warrant,25-0288,3/2/25 0:49,3/2/2025 12:49 AM - 3/2/2025 12:00 AM,"Student Health And Counseling Center, 300 Block Of Linden St",Cleared By Arrest
 County Misdemeanor Warrant,25-0288,3/2/25 0:49,3/2/2025 12:49 AM - 3/2/2025 12:00 AM,"Student Health And Counseling Center, 300 Block Of Linden St",Cleared By Arrest
Suspicious Subject,2503020002,3/2/25 0:44,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Petty Theft - All Other Larceny (M),25-0287,3/1/25 23:44,3/1/2025 7:35 PM - 3/1/2025 11:40 PM,"Robert Gordon Sproul Hall, 900 Block Of University Ave",Suspended/pending Further Leads
Cso Services,2503010133,3/1/25 23:37,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Cso Services,2503010130,3/1/25 23:31,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Cso Services,2503010122,3/1/25 22:26,,"Big Springs Parking Structure #2, 900 Block Of University Ave",Completed
Cso Services,2503010120,3/1/25 22:17,,"Big Springs Parking Structure #1, 400 Block Of Big Springs Rd",Completed
Cso Services,2503010121,3/1/25 22:17,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Building Check,2503010119,3/1/25 22:16,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Cso Services,2503010118,3/1/25 22:15,,"Oban Apartments, 900 Block Of Linden St",Completed
Cso Services,2503010117,3/1/25 22:13,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Cso Services,2503010116,3/1/25 22:12,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Fire Alarm,2503010113,3/1/25 21:54,,"International Village Apartments, 1100 Block Of Everton Pl",Discontinued Alarm (Cancelled)
Traffic Stop,2503010108,3/1/25 20:26,,"Big Springs Parking Structure #2, 900 Block Of University Ave",Cite Issued
Fire Alarm,2503010106,3/1/25 20:03,,"Oban Apartments, 900 Block Of Linden St",False Alarm: Unknown Reason
Call Boxes-blue Phones,2503010105,3/1/25 20:01,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Building Check,2503010103,3/1/25 19:39,,"Herman T. Spieth Hall, 900 Block Of University Ave",Completed
Call Boxes-blue Phones,2503010101,3/1/25 18:44,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Log Note Only
Building Check,2503010100,3/1/25 18:26,,"Student Success Center, 900 Block Of University Ave",Completed
Building Check,2503010096,3/1/25 17:32,,"Skye Hall, 900 Block Of University Ave",Completed
Welfare Check,2503010082,3/1/25 14:09,,,Completed
Public Service,2503010081,3/1/25 14:01,,"Life Sciences, 900 Block Of University Ave",Completed
Suspicious Subject,2503010080,3/1/25 13:50,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Gone On Arrival
911 Call,2503010079,3/1/25 13:41,,"Parking Lot 19, 900 Block Of University Ave",Completed
,2503010073,3/1/25 12:42,,"Parking Lot 26, 1000 Block Of Blaine St",Completed
Traffic Stop,2503010070,3/1/25 12:21,,,Warning (Verbal)
Pedestrian Check,2503010067,3/1/25 12:13,,,Completed
Public Service,2503010052,3/1/25 9:55,,"Materials Science & Engineering, 900 Block Of University Ave",Completed
Pedestrian Check,2503010036,3/1/25 8:43,,,Completed
Public Service,2503010029,3/1/25 7:26,,"Winston Chung Hall, 900 Block Of University Ave",Completed
Vehicle Check,2503010028,3/1/25 7:18,,,Completed
Public Service,2503010025,3/1/25 6:20,,"Highlander Union Building, 900 Block Of University Ave",Completed
Public Service,2503010026,3/1/25 6:20,,"Skye Hall, 900 Block Of University Ave",Completed
Public Service,2503010024,3/1/25 6:19,,"Chass Interdisciplinary North, 900 Block Of University Ave",Completed
Public Service,2503010022,3/1/25 6:18,,"University Lecture Hall, 900 Block Of University Ave",Completed
Public Service,2503010023,3/1/25 6:18,,"Winston Chung Hall, 900 Block Of University Ave",Completed
Public Service,2503010021,3/1/25 6:17,,"Marlan & Rosemary Bourns Hall, 900 Block Of University Ave",Completed
Public Service,2503010020,3/1/25 6:11,,"Materials Science & Engineering, 900 Block Of University Ave",Completed
911 Call,2503010019,3/1/25 4:46,,"University Plaza Apartments, 1000 Block Of Linden St",Completed
Medical Aid,2503010013,3/1/25 3:37,,"Stonehaven Apartments, 3200 Block Of Canyon Crest Dr",Fire Responded
Assist Other Department,2503010010,3/1/25 1:52,,"Marlan & Rosemary Bourns Hall, 900 Block Of University Ave",Completed
Area Check,2503010009,3/1/25 1:15,,"Veitch Building, 900 Block Of University Ave",Completed
Building Check,2503010007,3/1/25 1:13,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Fire Alarm,2503010004,3/1/25 0:36,,"Dundee Residence Hall, 600 Block Of Linden St",False Alarm: Human Activation
Traffic Stop,2503010003,3/1/25 0:23,,,Cite Issued
Cso Services,2502280157,2/28/25 23:51,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Cso Services,2502280156,2/28/25 23:49,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Unwanted Subject,2502280153,2/28/25 23:38,,"Police Building, 3500 Block Of Canyon Crest Dr",Completed
Area Check,2502280150,2/28/25 23:26,,"Big Springs Parking Structure #2, 900 Block Of University Ave",Completed
Building Check,2502280147,2/28/25 23:08,,"Herman T. Spieth Hall, 900 Block Of University Ave",Completed
Unwanted Subject,2502280146,2/28/25 23:07,,"Humanities & Social Sciences, 900 Block Of University Ave",Completed
Traffic Stop,2502280141,2/28/25 22:40,,"Quixtop Market, 700 Block Of Blaine St",Warning (Verbal)
Cso Services,2502280140,2/28/25 22:37,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2502280139,2/28/25 22:34,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2502280137,2/28/25 22:32,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
 County Misdemeanor Warrant,25-0286,2/28/25 22:04,2/28/2025 8:04 PM - 2/28/2025 12:00 AM,Staters,Cleared By Arrest
Burglary:second Degree - From Building (F),25-0285,2/28/25 21:00,2/28/2025 5:10 PM - 2/28/2025 8:30 PM,"Athletics And Dance Building, 900 Block Of University Ave",Suspended/pending Further Leads
Public Service,2502280114,2/28/25 20:56,,"Multidisciplinary Research Building 1, 900 Block Of University Ave",Public Assist
Petty Theft - All Other Larceny (M),25-0284,2/28/25 20:11,2/28/2025 1:00 PM - 2/28/2025 8:00 PM,"Physics Building, 900 Block Of University Ave",Completed
Petty Theft - All Other Larceny (M),25-0283,2/28/25 20:02,2/28/2025 5:40 PM - 2/28/2025 8:00 PM,"Science Laboratories 1, 900 Block Of University Ave",Suspended/pending Further Leads
Area Check,2502280100,2/28/25 17:54,,"Parking Lot 13, 900 Block Of University Ave",Completed
Information,2502280099,2/28/25 17:51,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Log Note Only
Fire Alarm,2502280087,2/28/25 15:29,,"School Of Medicine Health Science Resear, 900 Block Of University Ave",False Alarm
911 Call,2502280079,2/28/25 14:20,,"Ucr Building And Safety/dcfm, 1000 Block Of University Ave",Completed
Hit And Run Resulting In Injury Or Death (M),25-0282,2/28/25 13:17,2/26/25 13:50,"Parking Lot 24, 900 Block Of University Ave",Suspended/pending Further Leads
Hazing:results In Death Or Serious Bodily Injury - Aggravated (F),25-0281,2/28/25 12:07,"2/22/2025 - 2/23/2025, Unknown Time","Police Building, 3500 Block Of Canyon Crest Dr",Suspended/pending Further Leads
Traffic Stop,2502280064,2/28/25 12:06,,,Warning (Verbal)
Possess Unlawful Paraphernalia (M),25-0280,2/28/25 11:30,2/28/25 11:30,"University Plaza Apartments, 1000 Block Of Linden St",Refer To District Attorneys Office
Traffic Stop,2502280051,2/28/25 11:06,,,Warning (Verbal)
Area Check,2502280045,2/28/25 10:27,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Flagdown,2502280040,2/28/25 9:35,,"California Citrus Research Foundation, 1000 Block Of Marlborough Ave",Completed
Burglary - Burglary/breaking And Entering (F),25-0279,2/28/25 9:13,2/27/2025 9:00 AM - 2/28/2025 7:15 AM,"1420 Iowa-ucr Pd To Respond, 1400 Block Of Iowa Ave",Suspended/pending Further Leads
Petty Theft - All Other Larceny (M),25-0278,2/28/25 8:41,2/27/2025 12:00 PM - 2/28/2025 7:00 AM,"Glasgow Dining, 600 Block Of Linden St",Suspended/pending Further Leads
Silent Burglary Alarm,2502280033,2/28/25 8:20,,"Oban Apartments, 900 Block Of Linden St",False Alarm: Unknown Reason
Area Check,2502280017,2/28/25 3:01,,"E Side Of Falkirk, 3400 Block Of Canyon Crest Dr",Completed
Traffic Stop,2502280012,2/28/25 1:26,,,Warning (Verbal)
Public Service,2502280011,2/28/25 1:19,,,Completed
Building Check,2502280007,2/28/25 0:49,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Public Service,2502280006,2/28/25 0:30,,,Completed
Unwanted Subject,2502280004,2/28/25 0:26,,"Alumni And Visitors Center, 3700 Block Of Canyon Crest Dr",Completed
Pedestrian Check,2502270168,2/27/25 23:51,,Valvoline,Completed
Pedestrian Check,2502270167,2/27/25 23:41,,Valvoline,Completed
Pedestrian Check,2502270164,2/27/25 23:24,,,Completed
Possess Unlawful Paraphernalia (M),25-0277,2/27/25 23:01,2/27/25 23:01,,Cleared By Arrest
Vehicle Check,2502270160,2/27/25 22:57,,"Parking Lot 50, 1200 Block Of University Ave",Completed
Cso Services,2502270157,2/27/25 22:54,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Cso Services,2502270158,2/27/25 22:54,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Building Check,2502270156,2/27/25 22:50,,"Physics Building, 900 Block Of University Ave",Completed
Traffic Stop,2502270151,2/27/25 22:17,,,Warning (Verbal)
Cso Services,2502270144,2/27/25 21:58,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Cso Services,2502270145,2/27/25 21:58,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Log Note Only
Cso Services,2502270146,2/27/25 21:58,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2502270147,2/27/25 21:58,,"Oban Apartments, 900 Block Of Linden St",Completed
Cso Services,2502270148,2/27/25 21:58,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2502270143,2/27/25 21:55,,"Big Springs Parking Structure #2, 900 Block Of University Ave",Completed
Suspicious Circumstances,2502270134,2/27/25 20:48,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Found Property,2502270133,2/27/25 20:01,,"Highlander Union Building, 900 Block Of University Ave",Cancelled
Public Service,2502270129,2/27/25 19:07,,"Robert Gordon Sproul Hall, 900 Block Of University Ave",Public Assist
Unwanted Subject,2502270125,2/27/25 18:27,,"Highlander Union Building, 900 Block Of University Ave",Completed
Animal Complaint,2502270120,2/27/25 17:45,,Parking Lot 7,Referred To Other Agency
Public Service,2502270119,2/27/25 17:35,,"School Of Medicine Education Building 2, 900 Block Of University Ave",Public Assist
911 Call,2502270115,2/27/25 17:23,,,Completed
Petty Theft - All Other Larceny (M),25-0276,2/27/25 16:42,2/27/2025 2:00 PM - 2/27/2025 3:00 PM,"University Lecture Hall, 900 Block Of University Ave",Suspended/pending Further Leads
Suspicious Circumstances,2502270104,2/27/25 15:56,,"Gordon S. Watkins Hall, 900 Block Of University Ave",Report Taken
Medical Aid,2502270089,2/27/25 14:42,,"Robert Gordon Sproul Hall, 900 Block Of University Ave",Cancelled
Misc Alarms - Simplex Etc.,2502270083,2/27/25 14:01,,"Highlander Union Building, 900 Block Of University Ave",Completed
Threat Assessment Report,25-0274,2/27/25 13:01,2/27/25 0:00,"Police Building, 3500 Block Of Canyon Crest Dr",Information Only
911 Call,2502270061,2/27/25 11:06,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Log Note Only
Public Service,2502270055,2/27/25 10:24,,"Annex Vivarium Trailer, 900 Block Of University Ave",Completed
Vehicle Check,2502270040,2/27/25 8:50,,,Completed
Burglary - Burglary/breaking And Entering (F),25-0273,2/27/25 8:47,2/26/2025 2:30 PM - 2/27/2025 6:30 AM,"North Dist Phase 2 Const, 3400 Block Of Canyon Crest Dr",Suspended/pending Further Leads
Petty Theft - All Other Larceny (M),25-0272,2/27/25 8:05,"2/24/2025, Unknown Time","Uc Path-intellicenter (Ucpd Respond), 14300 Block Of Meridian Pkwy",Suspended/pending Further Leads
Suspicious Circumstances,2502270029,2/27/25 7:42,,"Oban Apartments, 900 Block Of Linden St",Subject Advised Of 626
Found Property,2502270026,2/27/25 5:19,,"School Of Medicine Health Science Resear, 900 Block Of University Ave",Report Taken
Found Property,2502270024,2/27/25 4:50,,"Plant Research, 800 Block Of E Campus Dr",Report Taken
Traffic Stop,2502270015,2/27/25 3:34,,,Warning (Verbal)
Building Check,2502260122,2/26/25 23:52,,"Vivarium 2 (Spieth Hall Basement), 900 Block Of University Ave",Completed
Cso Services,2502260118,2/26/25 23:35,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Cso Services,2502260116,2/26/25 23:23,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Traffic Accident,2502260111,2/26/25 22:09,,"Parking Lot 30, 900 Block Of University Ave",Completed
Cso Services,2502260109,2/26/25 21:59,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2502260108,2/26/25 21:57,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2502260106,2/26/25 21:55,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Cso Services,2502260107,2/26/25 21:55,,"Big Springs Parking Structure #1, 400 Block Of Big Springs Rd",Completed
Cso Services,2502260105,2/26/25 21:54,,"Oban Apartments, 900 Block Of Linden St",Completed
Information,2502260102,2/26/25 21:17,,"Big Springs Parking Structure #1, 400 Block Of Big Springs Rd",Public Assist
Suspicious Subject,2502260100,2/26/25 20:59,,"Science Laboratories 1, 900 Block Of University Ave",Completed
Traffic Accident,2502260099,2/26/25 20:50,,"Big Springs Parking Structure #2, 900 Block Of University Ave",Completed
911 Call,2502260098,2/26/25 20:44,,100 Block Of Big Springs Rd,Completed
Hit And Run No Injuries,2502260096,2/26/25 20:38,,"Big Springs Parking Structure #2, 900 Block Of University Ave",Report Taken
Reckless Driving,2502260095,2/26/25 20:37,,"Big Springs Parking Structure #2, 900 Block Of University Ave",Completed
Building Check,2502260094,2/26/25 20:30,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
,2502260090,2/26/25 19:21,,"Big Springs Parking Structure #2, 900 Block Of University Ave",Report Taken
Public Service,2502260088,2/26/25 18:36,,"Chass Interdisciplinary South, 900 Block Of University Ave",Completed
Building Check,2502260086,2/26/25 18:08,,"Herman T. Spieth Hall, 900 Block Of University Ave",Completed
Building Check,2502260084,2/26/25 17:34,,"Student Health And Counseling Center, 300 Block Of Linden St",Completed
Pedestrian Check,2502260079,2/26/25 17:07,,"Big Springs Parking Structure #2, 900 Block Of University Ave",Subject Advised Of 626
Theft Of Personal Property - All Other Larceny (M),25-0267,2/26/25 15:01,2/25/2025 7:00 PM - 2/26/2025 2:00 PM,"Pentland Hills, 0 Block Of Pentland Way",Suspended/pending Further Leads
Information,2502260050,2/26/25 11:32,,"Police Building, 3500 Block Of Canyon Crest Dr",Completed
Found Property,2502260049,2/26/25 11:31,,"Agricultural Operations, 1000 Block Of Martin Luther King Blvd",Completed
Medical Aid,2502260047,2/26/25 11:20,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Information,2502260046,2/26/25 11:17,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Suspicious Circumstances,2502260044,2/26/25 10:56,,"5241 Melogold Ave, 1600 Block Of Oroblanco Ave",Completed
Traffic Accident - Unknown Injuries,2502260042,2/26/25 10:51,,,Completed
Fire Alarm,2502260032,2/26/25 7:07,,"Green House 18-21, 900 Block Of University Ave",Completed
Building Check,2502260023,2/26/25 3:13,,"Vivarium 2 (Spieth Hall Basement), 900 Block Of University Ave",Completed
Possess Unlawful Paraphernalia (M),25-0265,2/26/25 3:11,2/26/25 3:00,,Cleared By Arrest
Traffic Stop,2502260005,2/26/25 0:10,,,Cite Issued
Traffic Stop,2502250126,2/25/25 23:38,,,Warning (Verbal)
Traffic Stop,2502250124,2/25/25 23:29,,,Warning (Verbal)
Cso Services,2502250122,2/25/25 23:28,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Building Check,2502250120,2/25/25 23:13,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Cso Services,2502250118,2/25/25 22:57,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2502250117,2/25/25 22:55,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Cso Services,2502250107,2/25/25 21:56,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2502250104,2/25/25 21:54,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Cso Services,2502250105,2/25/25 21:54,,"Big Springs Parking Structure #1, 400 Block Of Big Springs Rd",Completed
Cso Services,2502250103,2/25/25 21:53,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Assist Other Department,2502250102,2/25/25 21:34,,"Motel 6, 1200 Block Of University Ave",Report Taken
Building Check,2502250099,2/25/25 21:27,,"Gordon S. Watkins Hall, 900 Block Of University Ave",Completed
Fire Alarm,2502250089,2/25/25 19:17,,"Oban Apartments, 900 Block Of Linden St",False Alarm: Human Activation
Building Check,2502250088,2/25/25 19:14,,"Vivarium 2 (Spieth Hall Basement), 900 Block Of University Ave",Completed
Fire Alarm,2502250087,2/25/25 19:05,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",False Alarm: Human Activation
Silent Burglary Alarm,2502250086,2/25/25 17:51,,"Entomology Museum, 900 Block Of University Ave",False Alarm: Human Activation
Public Service,2502250083,2/25/25 16:56,,"Materials Science & Engineering, 900 Block Of University Ave",Completed
Medical Aid,2502250082,2/25/25 16:25,,"Student Recreation Center South, 900 Block Of University Ave",Fire Responded
Suspicious Circumstances,2502250080,2/25/25 15:36,,"Big Springs Parking Structure #2, 900 Block Of University Ave",Completed
Burglary:second Degree - From Building (F),25-0262,2/25/25 14:57,2/13/2025 3:00 PM - 2/18/2025 1:00 PM,"Glen Mor Housing, 400 Block Of Big Springs Rd",Suspended/pending Further Leads
Traffic Stop,2502250066,2/25/25 11:49,,Facilities Services,Warning (Verbal)
Vehicle Check,2502250062,2/25/25 11:35,,"Dundee Residence Hall, 600 Block Of Linden St",Completed
Found Property,2502250064,2/25/25 11:35,,"Police Building, 3500 Block Of Canyon Crest Dr",Report Taken
Call Boxes-blue Phones,2502250058,2/25/25 10:56,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Public Service,2502250055,2/25/25 10:45,,"Student Health And Counseling Center, 300 Block Of Linden St",Completed
Call Boxes-blue Phones,2502250050,2/25/25 10:15,,"Marlan & Rosemary Bourns Hall, 900 Block Of University Ave",Completed
911 Call,2502250045,2/25/25 9:56,,"Parking Lot 19, 900 Block Of University Ave",Completed
Area Check,2502250043,2/25/25 9:53,,"Parking Lot 6, 900 Block Of University Ave",Completed
Fire Alarm,2502250038,2/25/25 8:47,,"International Village Apartments, 1100 Block Of Everton Pl",False Alarm: Human Activation
Fire Alarm,2502250022,2/25/25 6:13,,"Annex A-old College Building North, 900 Block Of University Ave",False Alarm: Unknown Reason
Area Check,2502250016,2/25/25 4:07,,"Uc Path-intellicenter (Ucpd Respond), 14300 Block Of Meridian Pkwy",Completed
Suspicious Circumstances,2502240148,2/24/25 23:59,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Building Check,2502240141,2/24/25 23:03,,"Vivarium 2 (Spieth Hall Basement), 900 Block Of University Ave",Completed
Outside County Felony Warrant,25-0260,2/24/25 23:02,2/24/2025 11:02 PM - 2/25/2025 1:33 AM,"Shell Gas Station, 3200 Block Of Iowa Avenue",Cleared By Arrest
Cso Services,2502240138,2/24/25 22:56,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Cso Services,2502240139,2/24/25 22:56,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Traffic Stop,2502240137,2/24/25 22:45,,,Warning (Verbal)
Cso Services,2502240136,2/24/25 22:31,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Cso Services,2502240135,2/24/25 22:26,,"Pentland Hills, 0 Block Of Pentland Way",Completed
