Case#,Date/Time Reported,Incident Type,Location,Date/Time Occurred,Disposition
2024-00 018069,9/22/24,Fake ID/Tampering with Bike/Scooter/ Attempted Larceny,185 Kent St (CID),9/22/24 2:39,Inactive: Referred to Student Conduct
2024-00 018072,9/22/24,"Larceny, Theft from Building",201 Ag Quad Ln (Slusher Wing),09/21/2024- 9/22/24 19:00,Inactive
2024-00 018080,9/22/24,Trespassing,280 Stanger St( Upper Quad Hall North),9/22/24 0:00,Inactive
2025735 2,8/31/24,Underage Possession of Alcohol X 4,630 Washington St SW (Pritchard Hall),8/30/24,Inactive: Referred by Student Conduct
2025770 8,9/7/24,Underage Possession of Alcohol,570 Washington St SW (Hoge Hall),9/7/24,Inactive: Referred by Student Conduct
2024-00 018157,9/23/24,Fake ID,West Campus Dr / Prices Fork Rd,9/23/24 22:52,Inactive: Referred to Student Conduct
2024-00 018160,9/23/24,Larceny/all Other,190 West Campus Dr,09/22/2024- 9/23/24 14:30,Inactive
2024-00 018356,9/26/24,"Larceny, Theft from Building",175 West Campus Dr (outside Litton Reaves),9/26/24 9:10,Inactive
2024-00 018379,9/26/24,Public Intoxication/Underage Possession of Alcohol/Fake ID,770 Washington St SW (Cochrane Hall),9/26/24 22:27,Inactive
2024-00 018385,9/26/24,Threats to Bomb or Damage Building,630 Washington St SW (Pritchard Hall),45561 00:00,Active
2024-00 018386,9/26/24,Underage Possession of Alcohol,630 Washington St SW (Pritchard Hall),9/26/24 23:38,Inactive: Referred to Student Conduct
2024-00 018387,9/26/24,Fake ID,201 Ag Quad Ln (Slusher Wing),09/26/2024- 9/27/24 23:47,Inactive
2025470 2,5/10/24,Underage Possession of Alcohol,New Hall West,5/10/24,Inactive: Referred by Student Conduct
2025859 3,9/21/24,Underage Possession of Alcohol X 2,630 Washington St SW (Pritchard Hall),9/20/24,Inactive: Referred by Student Conduct
,,,,,
2024-00,9/27/24,"Larceny, all Other",190 West Campus Dr (near,09/21/2024- 17:00,Inactive
018401 2027-00,9/27/24,Obtaining Money by False Pretenses Via,New Hall West) 630 Washington St SW,9/23/24 9/27/24 12:30,Active
018412 2024-00,9/27/24,Internet Underage Possession of Alcohol/Fake ID,(Pritchard Hall) 720 Washington St SW (West,9/27/24 22:35,Inactive: Referred to
018476 2024-00,9/27/24,Public Intoxication/Underage Possession of,AJ) 101 Draper Rd NW (Media,9/27/24 22:39,Student Conduct Inactive: Referred to
018477 2024-00,9/27/24,Alcohol Public Intoxication/Underage Possession of,Lot) 570 Washington St SW (Hoge,9/27/24 23:12,Student Conduct Inactive: Referred to
018481 2024-00,9/27/24,Alcohol Public Intoxication,Hall) 700 Washinton St SW (AJ,9/27/24 23:18,Student Conduct CBA
018482 2024-00,9/28/24,Underage Possession of Alcohol,East Wing) 700 Washinton St SW (AJ,9/28/24 1:15,Inactive: Referred to
018494 2024-00,9/28/24,Giving False ID to Law-Enforcement Officer,East Wing) 100 S Main St,9/28/24 1:37,Student Conduct Inactive: Referred to
018495 2024-00,8/24/24,Larceny/ theft from Building/Receiving,Stanger St/Barer St,9/28/24 2:24,Student Conduct Inactive: Referred to
18500,,Possession of Stolen Goods/Damaging or Removing Certain Signs,,,Student Conduct
2024-00 018502,9/28/24,Fake ID,570 Washington St SW (Hoge Hall),9/28/24 2:40,Active
2024-00 018532,9/28/24,Vandalism/Destruction of Propery,770 Washington St SW (Cochrane Hall),09/27/2024- 9/28/24 17:00,Inactive
2024-00 018566,9/8/24,Public Intoxication/Underage Possession of Alcohol/Fake ID,130 Otey St NW,9/28/24 23:36,CBA
2024-00 018568,9/28/24,Driving Under the Influence of Alcohol,800 West Campus Dr,9/28/24 23:49,CBA
2024-00 018573,9/29/24,Public Intoxication/Underage Possession of Alcohol X 2,570 Washington St SW (Hoge Hall),9/29/24 1:16,Inactive: Referred to Student Conduct
2024-00 018574,9/29/24,"Larceny, Theft from Building",570 Washington St SW (Hoge Hall),9/29/24 1:28,Inactive
,,,,,
2024-00,9/24/24,Public Intoxication/Underage Possession of,630 Washington St SW,9/29/24 2:30,Inactive: Referred to
018581 2024-00,9/29/24,Alcohol Public Intoxication,(Pritchard Hall) 1301 Perry St (Orangge Loop),9/29/24 2:43,Student Conduct CBA
018582 2024-00,9/28/24,Public Intoxication/Underage Possession of,570 Washington St SW (Hoge,9/28/2024 6,Inactive: Referred to
018590 2024-00,9/29/24,"Alcohol Larceny, Theft from Building",Hall) 185 Kent St (CID),9/27/24 9:34,Student Conduct Inactive
018592 2024-00,9/28/24,Fraud/ Obtaining Money By False Pretense,200 Kent St (Newman Hall),09/28/2024- 22:17,Active
018594 2024-00,9/29/24,Via Internet Receiving/Possession of Stolen Goods,720 Washington St SW (West,9/29/24 9/29/24 19:02,Inactive
018605 2025-58,9/21/24,Underage Possession of Alcohol X 2,AJ) 630 Washington St SW,9/20/24,Inactive: Referred by
593,,,(Pritchard Hall) MONTHLY CRIME LOG: OCTOBER 2024,,Student Conduct
,,,,nan,
2024-00 018680,9/30/24,"Larceny, theft from  building",150 Kent St (Owens Hall),9/30/24 21:30,Inactive
2024-00 018784,10/2/24,Vandalism/destruction of Property,205 Duck Pond Dr,9/30/24 9:20,Active
2024-00 018802,10/2/24,"Larceny, all Other",185 Kent St (CID),09/30/2024- 10/2/24 11:30,Inactive
2024-00 018837,10/2/24,"Larceny, all Other X 4",1230 Washington St SW (HABB1,10/2/24 23:00,CBA
2025859 6,9/21/24,Underage Possession of Alcohol X 2,630 Washington St SW (Pritchard Hall),9/20/24,Inactive: Referred by Student Conduct
2024-00 018852,10/3/24,Harassment,570 Washington St SW (Hoge Hall),09/28/2024- 10/3/24 12:00,Active
2024-00 018869,10/3/24,Vandalism/destruction of Property,880 West Campus Dr (Pamplin Hall),09/09/2024- 10/3/24 00:00,Active
2024-00 018885,10/3/24,Vandalism/destruction of Property,630 Washington St SW (Pritchard Hall),10/02/2024- 10/3/24 21:00,Active
2024-00 018943,10/4/24,Fire Investigation,570 Washington St SW (Hoge Hall),10/4/24 8:00,Inactive
2024-00 018959,10/4/24,Vandalism/destruction of Property,195 Alumni Mall (Henderson Hall),04/15/2024- 9/23/24 00:00,Inactive
2024-00 018992,10/4/24,Underage Possession of Alcohol/Pubic Intoxication,410 Washington St SW (Miles Hall),10/4/24 23:06,Inactive: Referred to Student Conduct
2024-00 018997,10/5/24,Underage Possession of Alcohol/Pubic Intoxication,185 Kent St (CID),10/5/2024 10,Inactive: Referred to Student Conduct
,,,,,
2024-00,10/5/24,Fake ID,330 Sterrett Dr,10/5/24 13:30,Inactive
019032 2024-00,10/5/24,Public Intoxication/Underage Possession of,201 N Main St,10/05/2024- 22:56,Assisted BPD w/CBA
019065 2024-00,10/5/24,Alcohol Public Intoxication,125 N Main St (near UPS,10/6/24 10/5/24 23:26,Assisted BPD w/CBA
019066 2024-00,10/6/24,Public Intoxication/Fake ID,Store) 201 N Main st,10/6/24 0:34,Assisted BPD w/CBA
019077 2024-00,10/6/24,"Larceny, theft from  building",285 Ag Quad Ln (Dietrick,10/6/24 1:15,Inactive
019078 2024-00,10/6/24,Public Intoxication,Bookstore) 130 Otey St NW,10/6/24 1:21,CBA
019079 2024-00,10/6/24,Underage Possession of Alcohol X 2,385 West Campus Dr,10/6/24 1:45,Inactive: Referred to
019082 2024-00,10/6/24,Vandalism/destruction of Property,(Hillcrest Hall) College Ave/Otey St,10/6/24 2:07,Student Conduct Inactive
019084 2024-00,10/6/24,Underage Possession of Alcohol/Pubic,Draper Rd SW/Washington St,10/6/24 2:29,CBA
019085 2025848,9/22/24,Intoxication/Fake ID Underage Possession of Alcohol,SW 410 Washington St SW,9/22/24,Inactive: Referred by
7 2024-00,10/7/24,Harassment,(outside Miles Hall) 325 Stanger St (Kelly Hall),9/15/2024-1 08:00,Student Conduct Inactive
019134 2024-00,10/7/24,Vandalism/destruction of Property,155 Otey St NW (Graduate,0/06/2024 10/7/24 09:05,Inactive
019135 2024-00,10/7/24,Vandalism/destruction of Property,Life Center) 530 Washington St SW,10/7/24 10:00,Active
019145 2024-00,10/7/24,Assault,(O'Shaughnessy Hall) 800 Drillfield Dr (near Burruss,10/7/24 17:24,Inactive: Referred to
019155 2024-00,10/9/24,Driving Under the Influence of Alcohol,Hall) 100 S Main St,10/9/24 2:06,Student Conduct Assisted BPD w/CBA
19251,,,,,
,,,,,
2024-00 019258,10/9/24,Harassment (Threats of Death or Bodily Injury by Letter),325 Stanger St (Kelly Hall),10/08/2024- 10/9/24 18:07,CBA
2024-00,10/9/24,Fake ID,650 University City Blvd,1807-0853q 10/9/2024 09:56,Inactive: Reffered to
019263 2024-00,10/9/24,"Larceny, all Other",190 West Campus Drive,10/06/2024- 19:00,Student Conduct Inactive
019266 2024-00,10/9/24,Simple Assault,630 Washington St SW,10/8/24 9/3/24 00:01,Inactive
019274 2024-00,10/10/24,Internet Crimes Against Children,(Pritchard Hall) On Campus,10/10/23 10:19,Inactive
019276 2024-00,10/9/24,Underage Possession of Alcohol,185 Kent St (CID),10/9/24 22:16,Inactive: Referred to
019316 2025809,9/14/24,Underage Possession of Alcohol X 4,185 Kent St (CID),9/14/24,Student Conduct Inactive: Referred by
7 2025933,10/5/24,Underage Possession of Alcohol,180 Kent St (Vawter Hall),10/5/24,Student Conduct Inactive: Referred by
9 2024-00,10/6/24,Assault,500 Drillfield Dr (East,9/6/24 0:00,Student Conduct Inactive: Referred to
019427 2024-00,10/11/24,Obtain Money by False Pretenses Via Internet,Eggleston Hall) 330 Sterrett Dr,10/02/2024- 00:00,Student Conduct Active
019432 2024-00,10/11/24,Underage Possession of Alcohol/Pubic,217 College Ave (in front of,10/11/24 10/11/24 22:30,CBA
019449 2024-00,10/11/24,Intoxication/Fake ID Underage Possession of Alcohol/Pubic,TOTS) 185 Kent St (CID),10/11/24 23:25,Inactive: Referred to
019452 2024-00,10/12/24,Intoxication/Fake ID Underage Possession of Alcohol/Fake ID,140 Otey St (near,10/12/24 2:32,Student Conduct Inactive: Referred to
019465 2024-00,10/12/24,Assault,Architecture Annex) 290 College Ave (Squires,12/12/24 12:04,Student Conduct Active
019475 2024-00,10/12/24,Fraud/Extortion by Threat,Parking Lot) 240 West Campus Dr,08/20/2024- 00:00,Active
19477,,,,9/24/24,
,,,,,
2024-00 019481,10/12/24,"Larceny, theft from  building",285 Ag Quad Ln (Dietrick Bookstore),10/11/24 1:00,Active
2024-00 019512,10/13/24,Driving Under the Influence of Alcohol,Otey St / W Roanoke St,10/13/24 0:50,CBA
2024-00 019513,0/13/2024,Driving Under the Influence of Alcohol,115 Kent St,10/13/24 1:42,CBA
2024-00 019515,10/13/24,Public Intoxication,901 Prices Fork Rd (outside),10/13/24 2:49,CBA
2024-00 019516,10/13/24,Underage Possession of Alcohol/Pubic Intoxication/Fake ID/Mutual Assault,150 Kent St (outside Owens Hall),10/13/24 2:55,Inactive: Referred to Student Conduct
2024-00 019531,10/13/24,Harassmemt/Stalking,200 Kent St (Newman Hall),10/13/24 18:55,Inactive
2024-00 019539,10/13/24,Fraud/Sexual Extortion by Threat,445 Old Turner St (Holden Hall),10/13/24 22:00,Active
2024-00 019456,10/12/24,Urinating in Public,201 Draper Rd (Armory),10/12/2024 12,Inactive: Referred to Student Conduct
Hampto n Rds,9/20/24,Trespassing/Obstruction of Justice,"15 Rudd Ln Hampton , VA",9/20/24 9:35,Active
2024-00 019636,10/14/24,Fire Investigation,295 West Campus Dr,10/14/24 12:28,Active
2024-00 019649,10/15/24,Fraud/Obtaining Money by False Pretenses,409 Old Turner St (Turner Place),10/15/24 12:17,Inactive
2024-00 019688,10/16/24,Trespassing/Fake ID,720 Washington St (West AJ),10/16/2024 5,CBA
2024-00 019695,10/16/24,"Larceny, All Other",260 Alumni Mall (outside Pearson Hall East),10/16/24 12:13,Inactive
2024-00 019742,10/16/24,Sex Offense (Fondling),370 Drillfield Dr (War Memorial Gym),10/16/24 16:30,Active
2024-00 019763,10/17/24,Assault,260 Alumni Mall (outside Pearson Hall East),09/15/2024- 9/28/24 00:00,Active
,,,,,
2024-00,10/16/24,Sex Offense (Fondling),260 Alumni Mall (outside,10/3/24 0:00,Active
019764 2024-00,10/17/24,Sex Offense (Fondling/Abduction and,Pearson Hall East) 2212 Smithfield Rd (behind a,10/5/24 0:00,Active
019765 2024-00,10/17/24,"Kidnapping) Larceny, theft from  building",building) 340 West Campus Dr (Engel,10/16/24 9:05,Inactive
019780 2024-00,10/17/24,Vandalism/destruction of Property,Hall) 240 Kent St  (Whitehurst Hall),10/17/24 17:40,Inactive
019803 2024-00,10/17/24,Public Intoxication,185 Beamer Way (Lane,10/17/24 18:31,CBA
019804 2024-00,10/17/24,Public Intoxication,Stadium) 185 Beamer Way (Lane,10/17/24 18:43,CBA
019805 2024-00,10/17/24,Public Intoxication,Stadium) 185 Beamer Way (Lane,10/17/24 18:48,CBA
019808 2024-00,10/17/24,Public Intoxication,Stadium) 185 Beamer Way (Lane,10/17/24 18:56,CBA
019810 2024-00,10/17/24,Trespassing,Stadium) 185 Beamer Way (Lane,10/17/24 19:21,CBA
019814 2024-00,10/17/24,Underage Possession of Alcohol/Pubic,Stadium) 185 Beamer Way (Lane,10/17/24 19:25,CBA
019816 2024-00,10/17/24,Intoxication/Fake ID Public Intoxication,Stadium) 185 Beamer Way (Lane,10/17/24 19:38,CBA
019820 2024-00,10/17/21,"Larceny,all Other",Stadium) 185 Beamer Way (Lane,10/17/24 19:20,Inactive
019821 2024-00,10/17/24,Public Intoxication/Underage Possession of,Stadium) 575 Washington St SW,10/17/24 19:43,CBA
019822 2024-00,10/17/24,Alcohol Public Intoxication,(Tennis Courts) 185 Beamer Way (Lane,10/17/24 20:30,CBA
019831 2024-00,10/17/24,"Public Intoxication/ Larceny, theft from",Stadium) 185 Beamer Way (Lane,10/17/24 20:48,CBA
19833,,building/Obstructing Justice,Stadium),,
,,,,,
2024-00 019835,10/17/24,Public Intoxication,675 Washington St SW (Cassell Coliseum),10/17/24 20:47,CBA
2024-00 019857,10/17/24,Driving Under the Influence of Alcohol/Refuse Blood Test,Prices Fork Rd,10/17/24 23:48,CBA
2024-00 019863,10/18/24,Underage Possession of Alcohol/Pubic Intoxication/Fake ID,140 Otey St (Media Lot),10/18/24 0:33,CBA
2024-00 019864,10/18/24,"Larceny, All Other/Destruction of Property",630 Washington St SW (Pritchard Hall),10/17/24 18:30,Inactive
2024-00 019868,10/18/24,Driving Under the Influence of Alcohol,College Ave/Otey St,10/18/24 1:42,CBA
2024-00 019869,10/18/24,Driving Under the Influence of Alcohol,118 S Main St,10/18/24 1:50,CBA
2024-00 019876,10/18/24,Public Intoxication,117 S Main St,10/18/24 3:07,CBA
2025930 1,10/6/24,Underage Possession of Alcohol,300 drillfield Dr (Campbell Main),10/6/24,Inactive: Referred by Student Conduct
2024-00 019885,10/18/24,Vandalism/destruction of Property,570 Washington St SW (Hoge Hall),10/17/2024- 10/18/24 14:00,Inactive
2024-00 019888,10/18/24,"Larceny,all Other",1110 Life Science Circle,10/17/2024- 10/18/24 17:30,Inactive
2024-00 019889,10/18/24,"Larceny, theft all Other",946 Southgate Dr,45582 19:00,Inactive
2024-00 019890,10/15/24,"Larceny, theft from  building",185 Ag Quad Ln (College of Agriculture & Life Sciences),02/23/2024- 10/15/24 00:00,Active
2024-00 019894,10/18/24,Vandalism/destruction of Property,25 Beamer Way,10/16/2024- 10/17/24 13:30,Inactive
2024-00 019896,10/18/24,Vandalism/destruction of Property,25 Beamer Way,10/16/2024- 10/18/24 13:00,Inactive
2024-00 019956,10/18/24,Underage Possession of Alcohol,720 Washington St (West AJ),10/18/24 23:46,Inactive: Referred to Student Conduct
,,,,,
2024-00,10/19/24,Underage Possession of Alcohol,720 Washington St (West AJ),10/19/2024 5,Inactive: Referred to
019958 2024-00,10/19/24,Simple Assault X 2,135 College Ave /near Lyric,10/19/24 1:00,Student Conduct Inactive
019965 2024-00,10/19/24,Aggravated Assault,Theater) 135 College Ave /near Lyric,10/19/24 1:00,Inactive
019965 2024-00,10/19/24,Underage Possession of Alcohol,Theater) 630 Washington St SW,10/19/24 2:11,Inactive: Referred to
019970 2024-00,10/19/24,Underage Possession of Alcohol X 2,(Pritchard Hall) 201 Ag Quad Ln (Slusher,10/19/24 22:56,Student Conduct Inactive: Referred to
020026 2024-00,10/19/24,Underage Possession of Alcohol X2,Tower) 201 Ag Quad Ln (Slusher,10/19/24 23:18,Student Conduct Inactive: Referred to
020029 2024-00,10/19/24,Underage Possession of Alcohol/Public,Wing 570 Washington St SW (Hoge,10/19/24 23:21,Student Conduct Inactive: Referred to
020030 2024-00,10/19/24,Intoxication Underage Possession of Alcohol X 3,Hall) 570 Washington St SW (Hoge,10/20/2024 6,Student Conduct Inactive: Referred to
020034 2024-00,10/19/24,Public Intoxication,Hall) 560 Drillfield Dr (Newman,10/20/2024 4,Student Conduct Inactive: Referred to
020035 2024-00,10/19/24,Public Intoxication/Public Intoxication/Fake ID,Library) 800 Drillfield Dr (near Burruss,10/20/24 1:03,Student Conduct Inactive: Referred to
020042 2024-00,10/19/24,Underage Possession of Alcohol,Hall) 570 Washington St SW (Hoge,10/20/24 1:04,Student Conduct Inactive: Referred to
020043 2024-00,10/19/24,Underage Possession of Alcohol,Hall) 201 G Quad Ln (Slusher Hall),10/20/24 1:51,Student Conduct Inactive: Referred to
020048 2024-00,10/20/24,Underage Possession of Alcohol,440 Drillfield Dr (Eggleston,10/20/24 2:13,Student Conduct Inactive: Referred to
020049 2024-00,10/19/24,Vandalism/destruction of Property,Main) 570 Washington St SW (Hoge,10/19/2024- 15:00,Student Conduct Inactive: Referred to
020060 2024-00,10/20/24,"Larceny, All Other",Hall) 570 Washington St SW (Hoge,10/20/24 10/19/2024- 15:00,Student Conduct Inactive
20061,,,Hall),10/20/24,
,,,,,
2024-00 020096,10/21/24,Vandalism/destruction of Property,250 Drillfield Dr (Hutcheson Hall),10/7/24 8:00,Inactive
2024-00 020100,10/21/24,Tresspassing,705 West Campus Dr (Solitude Bldg),10/20/2024- 10/21/24 14:30,Active
2024-00 020105,10/21/24,Vandalism/destruction of Property,185 Ag Quad Ln (College of Agriculture & Life Sciences),10/18/24 9:00,Inactive
2024-00 020128,10/21/24,Assault,1185 Perry St (Undergraduate Science Laboratory Bldg),10/20/24 19:00,Inactive
2024-00 020129,10/21/24,Assault,560 Drillfield Dr (Newman Library),9/26/24 16:00,Inactive
2025894 7,9/28/24,Underage Possession of Alcohol x 4,570 Washington St SW (Hoge Hall),9/28/24,Inactive: Referred by Student Conduct
2025917 5,10/2/24,Underage Possession of Alcohol,2875 Oak Ln (SPC-R),10/2/24,Inactive: Referred by Student Conduct
2024-00 020171,10/22/24,"Larceny, all Other",240 Kent St (Whitehurst Hall),10/16/2024- 10/17/24 20:30,Inactive
2024-00 020173,10/22/24,Obtain Money by False Pretenses Via Internet,440 Drillfield Dr (Eggleston Main),10/21/2024- 10/22/24 19:35,Active
2024-00 020219,10/23/24,Trespassing,560 Drillfield Dr (Newman Library),10/23/24 1:08,CBA
2024-00 020253,10/23/24,"Larceny, all Other",North Main St /College Ave,10/20/24 0:00,Active
2024-00 020273,10/23/24,Public Intoxication,185 Kent St (CID),10/23/2024- 10/24/24 23:55,CBA
2024-00 020282,10/24/24,Underage Possession of Alcohol,570 Washington St SW (Hoge Hall),10/24/24 2:32,Inactive: Referred to Student Conduct
2025912 4,10/2/24,Underage Possession of Alcohol,240 Kent St (Whitehurst Hall),10/2/24,Inactive: Referred by Student Conduct
2025975 0,10/12/24,Underage Possession of Alcohol x 3,630 Washington St SW (Pritchard Hall),10/10/24,Inactive: Referred by Student Conduct
,,,,,
2024-00,10/22/24,Burglary/Trespassing,705 West Campus Dr,10/22/24 0:00,Active
020311 2024-00,10/24/24,"Larceny, all Other",(Solitude Bldg) Togerson Hall (620 Drillfield,10/10/2024- 17:00,Inactive
020323 2024-00,10/24/24,Obtain Money by False Pretenses Via Internet,Dr ) 900  W Campus Dr (Hahn,10/24/24 10/23/24 12:00,Active
020328 2024-00,10/25/24,Public Intoxication,Hall North) 720 Washington St (West AJ),10/25/24 12:31,Inactive: Referred to
020361 2024-00,10/25/24,Public Intoxication,630 Washington St SW,10/25/24 22:11,Student Conduct Inactive: Referred to
020432 2024-00,10/25/24,Underage Possession of Alcohol/Fake ID,(Pritchard Hall) 770 Washington St (Cochrane,10/25/24 23:11,Student Conduct Inactive: Referred to
020444 2024-00,10/26/24,"Larceny, theft from  building",Hall) 410 Washington St SW (Miles,10/26/24 2:39,Student Conduct Inactive: Referred to
20471,,,Hall)/Media Bldg 101 Draper Rd,,Student Conduct
2024-00 020472,10/26/24,Public Intoxication,720  Washington St SW/ Beamer Way,10/26/24 2:40,CBA
2024-00 020473,10/26/24,Public Intoxication/Underage Possession of Alcohol,101 Draper Rd (Near Media Building),10/26/24 2:48,CBA
2024-00 020492,10/26/24,Fake ID/Underage Possession of Alcohol,185 Beamer Way (Lane Stadium),10/26/24 12:37,CBA
2024-00 020493,10/26/24,Trespassing,185 Beamer Way (Lane Stadium),10/26/24 11:57,Inactive
2024-00 020504,10/26/24,Trespassing,410 Drillfield Dr (Eggleston Hall West Wing,10/26/24 18:42,Inactive
2024-00 020506,10/26/24,Credit Card Fraud,310 Alumni Mall ( Pearson Hall West),10/26/24 16:59,Inactive
2024-00 020514,10/26/24,Underage Possession of Alcohol x 5,630 Washington St SW (Pritchard Hall),10/26/24 20:33,Inactive: Referred to Student Conduct
2024-00 020524,10/26/24,Obstructing Justice/Public Intoxication/Fake ID/Underage Possession of Alcohol,140 Otey St  (Near the Architecture Annex),10/26/24 22:13,CBA
,,,,,
2024-00,10/26/24,Public Intoxication,201 Draper Rd NW (Armory),10/26/24 22:52,CBA
020529 2024-00,10/27/24,Underage Possession of Alcohol/Fake ID/,101 draper Rd NW (near,10/27/24 1:10,Inactive: Referred to
020553 2024-00,10/27/24,Littering Public Intoxication,Media Bldg) 210 Draper Rd SW (between,10/27/24 1:13,Student Conduct CBA
020554 2024-00,10/27/24,Driving Under the Influence of Alcohol,Media & Squires Parking Lot) Draper Rd SW/Washington St,10/27/24 1:41,CBA
020557 2025901,9/3/24,Trespassing,SW Pearson Hall West (310,9/3/24,Inactive: Referred by
2 2024-00,10/28/24,Vandalism/destruction of Property,Alumni Mall) 620 Drillfield Dr (Torgerson,10/28/24 17:00,Student Conduct Active
020602 2024-00,10/28/24,Use of Computer for Harassment,Hall) 280 Stanger St,10/28/24 12:00,Active
020661 2025970,10/11/24,Underage Possession of Alcohol x 3,630 Washington St SW,10/10/24,Inactive: Referred by
7,,,(Pritchard Hall) MONTHLY CRIME LOG: NOVEMBER 2024,,Student Conduct
,,,,nan,
2024-00 020770,10/30/24,Vandalism/Destruction of Property,290 College Ave (Squires Student Center),10/16/2024- 10/30/24 08:00,Inactive
2024-00 020811,10/30/24,"Larceny, theft from Building",225 Stanger St (McBryde Hall),10/30/24 1:00,Inactive
2024-00 020839,10/31/24,"Larceny, theft from Building",490 Old Turner St 100 (Hancock Hall),10/31/24 9:15,Inactive
2024-00 020872,10/31/24,Public Intoxication/Underage Possession of Alcohol/Fake ID,101 Draper Rd NW (near Media Bldg.),10/31/24 20:46,CBA
2024-00 020875,10/31/24,"Larceny, theft from Building",720 Washington St SW,10/31/24 12:00,Inactive
2024-00 020879,11/1/24,Public Intoxication/Underage Possession of Alcohol,101 Draper Rd NW (near Media bldg.),10/31/24 22:16,Inactive: Referred to Student Conduct
2024-00 020890,10/31/24,Public Intoxication/Underage Possession of Alcohol/Fake ID,101 Draper Rd NW (near Media bldg.),10/31/24 23:03,CBA
2024-00 020892,10/31/24,Underage Possession of Alcohol,570 Washington St SW (Hoge Hall),10/31/24 23:10,Inactive: Referred to Student Conduct
2024-00 020906,11/1/24,Public Intoxication/Underage Possession of Alcohol/Fake ID,101 Draper Rd NW (near Media bldg.),11/1/2024 49,CBA
2024-00 020907,11/1/24,Public Intoxication/Underage Possession of Alcohol,630 Washington St SW (Pritchard Hall),11/1/2024 50,Inactive: Referred to Student Conduct
2024-00 020909,11/1/24,Public Intoxication/Underage Possession of Alcohol/Fake ID,101 Draper Rd NW (near Media bldg.),10/31/24 23:03,Inactive: Referred to Student Conduct
2024-00 020910,11/1/24,Underage Possession of Alcohol,570 Washington St SW (Hoge Hall),11/1/24 1:22,Inactive: Referred to Student Conduct
,,,,,
2024-00,11/1/24,Public Intoxication,1410 Prices Fork Rd (Vet Med,11/1/24 6:31,CBA
020928 2025933,10/5/24,Underage Possession of Alcohol,Prices Fork Research Center) 180 Kent St (Vawter Hall),10/4/24,Inactive: Referred by
8 2025975,10/12/24,Underage Possession of Alcohol,630 Washington St SW,10/10/24,Student Conduct Inactive: Referred by
0 2026012,10/20/24,Underage Possession of Alcohol X 2,(Pritchard Hall) 570 Washington St SW (Hoge,10/19/24,Student Conduct Inactive: Referred by
3 2026011,10/20/24,Underage Possession of Alcohol X 4,Hall) 720 Washington St SW (West,10/19/24,Student Conduct Inactive: Referred by
8 2024-00,11/2/24,Public Intoxication/Underage Possession of,Upper AJ) 130 Otey St NW (Media Lot),11/2/2024 7,Student Conduct Inactive: Referred to
020989 2024-00,11/2/24,Alcohol Public Intoxication/Underage Possession of,130 Otey St NW (Media Lot),11/2/24 0:26,Student Conduct CBA
020991 2024-00,11/2/24,"Alcohol/Larceny, All Other) Public Intoxication/Underage Possession of",410 Drillfield Dr (Eggleston,11/2/2024 43,Inactive: Referred to
020992 2024-00,11/2/24,Alcohol Underage Possession of Alcohol,Hall West) 130 Otey St NW (Media Lot),11/2/2024 49,Student Conduct Inactive: Referred to
020993 2024-00,11/2/24,Public Intoxication/Underage Possession of,201 Ag Quad Ln (Slusher,11/2/2024 50,Student Conduct Inactive: Referred to
020994 2024-00,11/2/24,Alcohol Simple Assault,Tower) N Main St / College Ave,11/2/2024 55,Student Conduct Assisted BPD
20995,,,(sidewalk in front of Lyric Theater),,
2024-00 020996,11/2/24,Public Intoxication/Underage Possession of Alcohol,185 Kent St (CID Bldg),11/2/24 1:18,Inactive: Referred to Student Conduct
2024-00 020998,11/2/24,Public Intoxication/Underage Possession of Alcohol,570 Washington St SW (Hoge Hall),11/2/24 1:36,Inactive: Referred to Student Conduct
2024-00 021000,11/2/24,Public Intoxication/Underage Possession of Alcohol,700 Washington St SW (Ambler Johnston Hall East),11/2/24 1:50,Inactive: Referred to Student Conduct
2024-00 021002,11/2/24,Public Intoxication/Underage Possession of Alcohol,630 Washington St SW (Pritchard Hall),11/2/24 2:00,Inactive: Referred to Student Conduct
,,,,,
2024-00,11/2/24,Underage Possession of Alcohol,201 Ag Quad Ln (Slusher,11/2/24 4:21,Inactive: Referred to
021006 2024-00,11/2/24,Public Intoxication/Underage Possession of,Hall) 130 Otey St NW (Media Lot),11/2/24 20:18,Student Conduct CBA
021044 2024-00,11/3/24,Alcohol Public Intoxication,760 West Campus Dr (near,11/3/24 1:29,CBA
021061 2024-00,11/3/24,Vandalism/Destruction of Property,Davidson Hall) 2965 Oak Ln  (SPH -Building,10/31/2024- 22:00,Inactive
021074 2024-00,11/3/24,"Vandalism/Destruction of Property/Larceny,",O) 720 Washington St SW (West,11/3/24 10/20/2024- 00:00,Inactive
021090 2024-00,11/4/24,theft from Building Computer Invasion of Privacy,Wing) 570 Washington St SW (Hoge,11/3/24 11/4/24 00:57,Active
021102 2024-00,11/4/24,"Larceny, All Other",Hall) 300 Drillfield Dr (outside,10/31/2024- 21:00,Active
021110 2024-00,11/4/24,Vandalism/destruction of Property,Campbell Main) 240 Kent St (Whitehurst Hall),11/1/24 10/25/24 03:50,Inactive
021125 2024-00,11/4/24,Vandalism/destruction of Property,212 Turner St NW (North End,11/4/24 6:00,Active
