Case Number,Date/Time Occurred,Date/Time Occurred to,OffenseCode,Incident Type,Disposition,CaseDisposition,LocationCode,PatrolZone,Location,Street Address,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude
25030497,3/4/25 4:20,3/4/25 8:00,9999T,,Closed by Arrest,Not Applicable,PUB,Z2,North Avenue @ Williams Street  Z2,,,North Avenue NW & Williams Street NW,33.771345,-84.390686
25030497,3/4/25 4:20,3/4/25 8:00,520,Weapon Law Violations,Closed by Arrest,Not Applicable,PUB,Z2,North Avenue @ Williams Street  Z2,,,North Avenue NW & Williams Street NW,33.771345,-84.390686
25030497,3/4/25 4:20,3/4/25 8:00,35A,Drug/Narcotic Violations,Closed by Arrest,Not Applicable,PUB,Z2,North Avenue @ Williams Street  Z2,,,North Avenue NW & Williams Street NW,33.771345,-84.390686
25030555,3/4/25 18:00,3/4/25 22:00,23D,Theft From Building,Inactive,Not Applicable,ONCAM,Z4,Campus Recreation Center,750,,Ferst Drive NW,33.77546401,-84.40349901
25030488,3/3/25 11:12,3/3/25 11:45,9999MH,,Closed by Other Means,,NONCAM,Z2,Delta Sigma Phi Fraternity   307  Z2,165,,Fourth Street  NW,33.77584759,-84.39252817
25030491,3/3/25 19:30,3/3/25 19:35,9999T,,Closed by Arrest,Not Applicable,PUB,Z1,Ferst Drive @ State Street   Z1,,,Ferst Drive NW & State Street NW,33.778281,-84.399174
25030494,3/3/25 21:40,3/3/25 22:18,9999EMS,,Closed by Other Means,Not Applicable,ONCAMRES,Z2,NAA South  191  Z2,120,,North Avenue NW,33.76932,-84.39182
25030492,3/3/25 8:00,3/3/25 20:23,9999T,,Active,Not Applicable,ONCAM,Z1,North Campus Parking Deck   148   Z1,352,,Peachtree Place NW,33.78013492,-84.39844716
25030487,3/2/25 17:08,3/2/25 22:00,520,Weapon Law Violations,Closed by Arrest,Not Applicable,ONCAM,Z3,Klaus Parking Deck  153  Z3,266,,Ferst Drive NW,33.777401,-84.396009
25030487,3/2/25 17:08,3/2/25 22:00,9999T,,Closed by Arrest,Not Applicable,ONCAM,Z3,Klaus Parking Deck  153  Z3,266,,Ferst Drive NW,33.777401,-84.396009
25030487,3/2/25 17:08,3/2/25 22:00,9999T,,Closed by Arrest,Not Applicable,ONCAM,Z3,Klaus Parking Deck  153  Z3,266,,Ferst Drive NW,33.777401,-84.396009
25030487,3/2/25 17:08,3/2/25 22:00,90Z,All Other Offenses,Closed by Arrest,Not Applicable,ONCAM,Z3,Klaus Parking Deck  153  Z3,266,,Ferst Drive NW,33.777401,-84.396009
25030487,3/2/25 17:08,3/2/25 22:00,90Z,All Other Offenses,Closed by Arrest,Not Applicable,ONCAM,Z3,Klaus Parking Deck  153  Z3,266,,Ferst Drive NW,33.777401,-84.396009
25030485,3/2/25 15:43,3/2/25 16:15,9999T,,Closed by Other Means,Not Applicable,NONCLERY,OFFCAM,,,,6TH ST NW @  CYPRESS ST NW,,
25030485,3/2/25 15:43,3/2/25 16:15,35A,Drug/Narcotic Violations,Closed by Other Means,Not Applicable,NONCLERY,OFFCAM,,,,6TH ST NW @  CYPRESS ST NW,,
25030486,3/2/25 14:50,3/2/25 15:13,9999,,Active,Not Applicable,NONCAM,OFFCAM,,1031,,CURRAN ST NW,,
25030486,3/2/25 14:50,3/2/25 15:13,9999MH,,Active,Not Applicable,NONCAM,OFFCAM,,1031,,CURRAN ST NW,,
25030480,3/2/25 1:02,3/2/25 1:02,9999EMS,,Closed by Exception,Prosecution Declined,NONCAM,Z2,Delta Sigma Phi,165,,4th Street NW,,
25030480,3/2/25 1:02,3/2/25 1:02,90Z,All Other Offenses,Closed by Exception,Prosecution Declined,NONCAM,Z2,Delta Sigma Phi,165,,4th Street NW,,
25030480,3/2/25 1:02,3/2/25 1:02,90G,Liquor Law Violations,Closed by Exception,Prosecution Declined,NONCAM,Z2,Delta Sigma Phi,165,,4th Street NW,,
25030480,3/2/25 1:02,3/2/25 1:02,8399,,Closed by Exception,Prosecution Declined,NONCAM,Z2,Delta Sigma Phi,165,,4th Street NW,,
25030483,3/2/25 3:20,3/2/25 5:43,90D,Driving Under the Influence,Closed by Arrest,Not Applicable,NONCLERY,Z2,North Avenue @ Spring Street  Z2,,,North Avenue NW & Spring Street NW,33.771335,-84.388862
25030474,3/1/25 9:38,3/1/25 9:59,9999,,Closed by Other Means,,ONCAM,Z4,Georgia Tech Police Department   211   Z1,965,,Hemphill Avenue NW,33.781162,-84.403603
25030477,3/1/25 19:00,3/1/25 22:56,9999,,Closed by Other Means,Not Applicable,ONCAM,Z1,Engineered Biosystems Building (EBB)   195   Z1,950,,Atlantic Drive NW,33.780819,-84.397985
25030472,3/1/25 7:20,nan nan,9999V,,Active,,ONCAM,Z4,Campus Recreation Center Parking Deck  162  Z4,750,,Ferst Drive NW,33.77619076,-84.40390717
25030472,3/1/25 7:20,nan nan,9999,,Active,,ONCAM,Z4,Campus Recreation Center Parking Deck  162  Z4,750,,Ferst Drive NW,33.77619076,-84.40390717
25030505,3/1/25 15:54,3/1/25 15:58,T-Bike,,Inactive,Not Applicable,ONCAM,,,711,,TECHWOOD DR NW,,
25030505,3/1/25 15:54,3/1/25 15:58,90Z,All Other Offenses,Inactive,Not Applicable,ONCAM,,,711,,TECHWOOD DR NW,,
25020471,2/28/25 17:00,2/28/25 21:00,220,Burglary/Breaking & Entering,Active,Not Applicable,ONCAMRES,Z2,Smith Residence Hall   6   Z2,630,,Williams Street NW,33.77170733,-84.39125155
25020465,2/28/25 11:20,2/28/25 11:23,9999T,,Closed by Other Means,Not Applicable,PUB,Z2,North Avenue @ Cherry Street  Z2,,,North Avenue NW & Cherry Street NW,33.771364,-84.395528
25020470,2/28/25 17:45,2/28/25 17:52,9999,,Active,,ONCAMRES,Z4,Crecine Residence Hall,900,,Hemphil Ave NW,,
25020461,2/28/25 3:41,2/28/25 3:55,9999EMS,,Closed by Other Means,Not Applicable,ONCAMRES,Z2,Field Residence Hall,711,,Techwood Drive NW,33.77420925,-84.39165079
25030473,2/28/25 23:00,3/1/25 7:00,290,Destruction/Damage/Vandalism of Property,Active,Not Applicable,ONCAM,Z2,Tech Square 3 construction site,828,,West Peachtree Street NW,,
25020457,2/27/25 8:56,2/27/25 8:56,9999,,Closed by Exception,Not Applicable,ONCAMRES,Z3,Pi Kappa Phi Fraternity   336   Z3,220,,Ferst Drive NW,33.77667396,-84.39430485
25020469,2/27/25 15:45,2/28/25 17:00,13C,Intimidation,Active,Not Applicable,NONCLERY,OFFCAM,Paloma Apartments,800,,MARIETTA ST NW,,
25020464,2/27/25 22:00,2/28/25 10:00,9999,,Closed by Arrest,Not Applicable,ONCAM,Z1,Graduate Living Center   52  Z1,301,,Tenth Street NW,33.78195744,-84.39660566
25020464,2/27/25 22:00,2/28/25 10:00,T-Bike,,Closed by Arrest,Not Applicable,ONCAM,Z1,Graduate Living Center   52  Z1,301,,Tenth Street NW,33.78195744,-84.39660566
25020464,2/27/25 22:00,2/28/25 10:00,23H,All Other Larceny,Closed by Arrest,Not Applicable,ONCAM,Z1,Graduate Living Center   52  Z1,301,,Tenth Street NW,33.78195744,-84.39660566
25020459,2/27/25 21:30,2/27/25 21:45,290,Destruction/Damage/Vandalism of Property,Active,Not Applicable,ONCAM,Z1,GTRI Conference Center,250,,Fourteenth Street NW,33.78578906,-84.39493051
25020463,2/27/25 17:30,2/28/25 7:30,9999T,,Unfounded,Not Applicable,ONCAM,Z3,Howey Physics Building Lot,800,,Atlantic Drive NW,33.77742295,-84.39846714
25030490,2/27/25 12:00,3/3/25 16:30,9999,,Closed by Other Means,Not Applicable,ONCAM,Z3,Klaus Advanced Computing Building   153   Z3,266,,Ferst Drive NW,33.77716232,-84.39618136
25020450,2/26/25 13:50,2/26/25 13:51,9999,,Closed by Other Means,Not Applicable,ONCAM,Z3,Klaus Parking Deck  153  Z3,266,,Ferst Drive NW,33.777401,-84.396009
25020452,2/26/25 13:51,2/26/25 13:51,240,Motor Vehicle Theft,Closed by Arrest,Not Applicable,ONCAM,Z2,Scheller College of Business,800,,West Peachtree Street NW,33.77628053,-84.38801865
25020455,2/26/25 21:10,2/26/25 21:43,90Z,All Other Offenses,Closed by Arrest,Not Applicable,ONCAM,Z2,,890,,Curran St NW,,
25020455,2/26/25 21:10,2/26/25 21:43,90J,Trespass of Real Property,Closed by Arrest,Not Applicable,ONCAM,Z2,,890,,Curran St NW,,
25020455,2/26/25 21:10,2/26/25 21:43,90Z,All Other Offenses,Closed by Arrest,Not Applicable,ONCAM,Z2,,890,,Curran St NW,,
25020455,2/26/25 21:10,2/26/25 21:43,90B,Curfew/Loitering/Vagrancy Violations,Closed by Arrest,Not Applicable,ONCAM,Z2,,890,,Curran St NW,,
25020455,2/26/25 21:10,2/26/25 21:43,240,Motor Vehicle Theft,Closed by Arrest,Not Applicable,ONCAM,Z2,,890,,Curran St NW,,
25020455,2/26/25 21:10,2/26/25 21:43,9999,,Closed by Arrest,Not Applicable,ONCAM,Z2,,890,,Curran St NW,,
25020451,2/26/25 15:31,2/26/25 15:42,26C,Impersonation,Closed by Exception,Prosecution Declined,ONCAM,Z1,Chandler Stadium   168   Z1,255,,Ferst Drive NW,33.77761508,-84.3948266
25020451,2/26/25 15:31,2/26/25 15:42,8399,,Closed by Exception,Prosecution Declined,ONCAM,Z1,Chandler Stadium   168   Z1,255,,Ferst Drive NW,33.77761508,-84.3948266
25020451,2/26/25 15:31,2/26/25 15:42,9999,,Closed by Exception,Prosecution Declined,ONCAM,Z1,Chandler Stadium   168   Z1,255,,Ferst Drive NW,33.77761508,-84.3948266
25020454,2/26/25 17:53,2/26/25 18:13,9999T,,Closed by Arrest,Not Applicable,PUB,Z1,Hemphill Avenue @ Fourteenth Street  Z4,,,Northside Drive @ Fourteenth Street,33.786249,-84.407383
25020456,2/26/25 16:28,2/26/25 23:50,240,Motor Vehicle Theft,Active,Not Applicable,ONCAM,Z2,Hinman Research Building,723,,CHERRY ST NW,,
25020449,2/26/25 11:56,2/26/25 11:53,9999,,Active,,ONCAM,Z2,Scheller College of Business   172   Z2,800,,West Peachtree Street NW,33.77628053,-84.38801865
25020447,2/26/25 9:46,2/26/25 9:51,9999EMS,,Closed by Other Means,,,Z2,Fifth Street @ Spring Street,,,Fifth Street NW & Spring Street NW,33.776853,-84.388807
25020453,2/26/25 15:50,2/26/25 16:36,9999EMS,,Closed by Other Means,Not Applicable,ONCAM,Z2,Rich Building,258,,Fourth Street NW,33.77525788,-84.3949785
25020439,2/25/25 16:48,nan nan,9999V,,Active,,ONCAM,,Georgia Tech Police Department   211   Z1,965,,Hemphill Avenue NW,33.781162,-84.403603
25020445,2/25/25 21:26,2/25/25 21:56,23D,Theft From Building,Active,Not Applicable,ONCAM,Z3,Klaus Advanced Computing Building   153   Z3,266,,Ferst Drive NW,33.77716232,-84.39618136
25020433,2/25/25 2:59,nan nan,9999V,,Active,,,,McMillan Street @ Sixth Street  Z4,,,McMillan Street @ Sixth Street,33.777257,-84.4042319
25020446,2/25/25 10:00,2/25/25 15:00,23D,Theft From Building,Closed by Other Means,Not Applicable,ONCAM,Z2,Clough Undergraduate Learning Commons  166  Z2,266,,Fourth Street NW,33.7746818,-84.39637939
25020432,2/25/25 2:59,2/25/25 3:19,9999W,,Closed by Arrest,Not Applicable,PUB,Z4,McMillan Street @ Sixth Street  Z4,,,McMillan Street @ Sixth Street,33.777257,-84.4042319
25020434,2/25/25 9:29,2/23/25 0:30,9999,,Closed by Other Means,Not Applicable,NONCLERY,OFFCAM,,2124,,Knoll Pl,,
25020435,2/25/25 10:28,2/25/25 10:30,9999,,Active,,ONCAM,Z3,Library   77   Z2,260,,Fourth Street NW,33.77431732,-84.39572383
25020441,2/25/25 17:40,2/25/25 18:10,23D,Theft From Building,Inactive,Not Applicable,ONCAM,Z4,Campus Recreation Center,750,,Ferst Drive NW,33.77546401,-84.40349901
25020446,2/25/25 10:00,2/25/25 15:00,26B,Credit Card/Automated Teller Machine Fraud,Closed by Other Means,Not Applicable,ONCAM,Z2,Clough Undergraduate Learning Commons  166  Z2,266,,Fourth Street NW,33.7746818,-84.39637939
25020458,2/25/25 19:30,2/25/25 22:00,23D,Theft From Building,Unfounded,Not Applicable,ONCAM,Z4,Campus Recreation Center,750,,Ferst Drive NW,33.77546401,-84.40349901
25020442,2/25/25 17:57,2/25/25 17:58,240,Motor Vehicle Theft,Closed by Arrest,Not Applicable,ONCAM,Z2,Scheller College of Business,800,,West Peachtree Street NW,33.77628053,-84.38801865
25020444,2/25/25 20:52,2/25/25 21:44,9999,,Closed by Other Means,Not Applicable,ONCAMRES,Z4,Maulding Residence Hall,501,,Sixth Street NW,,
25020429,2/24/25 14:59,2/24/25 15:35,90C,Disorderly Conduct,Closed by Other Means,Prosecution Declined,ONCAM,Z4,West Village Dining Commons   209   Z4,532,,Eighth Street NW,33.779285,-84.404688
25020429,2/24/25 14:59,2/24/25 15:35,9999CTW,,Closed by Other Means,Prosecution Declined,ONCAM,Z4,West Village Dining Commons   209   Z4,532,,Eighth Street NW,33.779285,-84.404688
25020428,2/24/25 10:00,2/24/25 12:00,240,Motor Vehicle Theft,Unfounded,Not Applicable,ONCAM,Z3,Klaus Advanced Computing Building,266,,Ferst Drive NW,33.77716232,-84.39618136
25020431,2/24/25 11:00,2/24/25 15:00,T-Bike,,,Not Applicable,ONCAMRES,Z1,Graduate Living Center,301,,Tenth Street NW,,
25020431,2/24/25 11:00,2/24/25 15:00,23H,All Other Larceny,,Not Applicable,ONCAMRES,Z1,Graduate Living Center,301,,Tenth Street NW,,
25020426,2/24/25 13:33,2/24/25 14:08,7399R,,Closed by Arrest,In Custody of Other Jurisdiction,NONCLERY,OFFCAM,Quick Trip,630,,Tenth Street NW,33.781552,-84.404199
25020426,2/24/25 13:33,2/24/25 14:08,9999W,,Closed by Arrest,In Custody of Other Jurisdiction,NONCLERY,OFFCAM,Quick Trip,630,,Tenth Street NW,33.781552,-84.404199
25020422,2/24/25 1:00,2/24/25 1:15,9999,,Closed by Other Means,Not Applicable,ONCAM,Z2,Peters Parking Deck   8   Z2,749,,Fowler Street NW,33.77497462,-84.3935274
25020425,2/24/25 13:38,nan nan,9999,,Active,,ONCAM,,Builtmore Hotel x,817,,W PEACHTREE ST,33.77244111,-84.39395201
25020418,2/23/25 14:58,nan nan,9999V,,Active,,,,Tenth Street & Atlantic Drive  Z1,,,Tenth Street & Atlantic Drive NW,33.781521,-84.397723
25020421,2/23/25 23:42,2/24/25 0:06,9999T,,Closed by Arrest,Not Applicable,NONCLERY,Z2,,,,SPRING ST NW and 10th Street,,
25020421,2/23/25 23:42,2/24/25 0:06,9999T,,Closed by Arrest,Not Applicable,NONCLERY,Z2,,,,SPRING ST NW and 10th Street,,
25020443,2/23/25 15:30,2/24/25 9:00,240,Motor Vehicle Theft,Closed by Exception,Prosecution Declined,ONCAM,Z2,Glenn Residence Hall courtyard,118,,Bobby Dodd Way NW,,
25020443,2/23/25 15:30,2/24/25 9:00,8399,,Closed by Exception,Prosecution Declined,ONCAM,Z2,Glenn Residence Hall courtyard,118,,Bobby Dodd Way NW,,
25020414,2/23/25 0:20,2/22/25 0:25,9999,,Closed by Other Means,Not Applicable,ONCAM,Z4,,,,,,
25020420,2/23/25 14:45,2/23/25 14:47,9999,,Closed by Other Means,,ONCAM,Z2,Library East Tower (Crosland),260,,Fourth Street NW,33.77447174,-84.39492617
25020408,2/22/25 1:36,2/22/25 4:09,8399,,Closed by Other Means,Prosecution Declined,ONCAMRES,Z2,Field Residence Hall   90   Z2,711,,Techwood Drive NW,33.77420925,-84.39165079
25020408,2/22/25 1:36,2/22/25 4:09,90G,Liquor Law Violations,Closed by Other Means,Prosecution Declined,ONCAMRES,Z2,Field Residence Hall   90   Z2,711,,Techwood Drive NW,33.77420925,-84.39165079
25020410,2/22/25 16:23,2/22/25 16:40,9999F,,Closed by Other Means,,ONCAM,Z3,Manufacturing Rel. Disc. Complex (MRDC)   135  Z3,801,,Ferst Drive NW,33.77696792,-84.40050269
25020437,2/22/25 19:46,2/22/25 19:47,240,Motor Vehicle Theft,Closed by Arrest,Not Applicable,ONCAM,Z4,Hefner Residence Hall   107   Z4,510,,Eighth Street NW,33.77914886,-84.40394357
25020419,2/22/25 21:30,2/23/25 7:00,290,Destruction/Damage/Vandalism of Property,Active,Not Applicable,ONCAM,Z2,Georgia Tech Hotel & Conference Center   171  Z2,800,,Spring Street NW,33.77634325,-84.38930792
25020423,2/22/25 8:00,2/24/25 8:37,9999,,Closed by Other Means,,ONCAM,Z1,Ford Envir. Science & Technology  147  Z1,311,,Ferst Drive NW,33.77889662,-84.39603609
25020417,2/22/25 13:30,2/22/25 18:00,9999,,Closed by Other Means,Not Applicable,ONCAM,Z3,Klaus Parking Deck  153  Z3,266,,Ferst Drive NW,33.777401,-84.396009
25020407,2/22/25 3:09,2/22/25 4:47,90D,Driving Under the Influence,Closed by Arrest,Not Applicable,PUB,Z2,North Avenue @ Techwood Drive,,,,33.77131,-84.392067
25020411,2/22/25 17:36,2/22/25 17:38,9999,,Closed by Other Means,Not Applicable,ONCAM,Z4,Campus Recreation Center   160   Z4,750,,Ferst Drive NW,33.77546401,-84.40349901
25020401,2/21/25 14:30,2/21/25 14:34,9999,,Closed by Other Means,Not Applicable,ONCAM,Z1,,965,,Hemphill Avenue NW,33.781162,-84.403603
25020403,2/21/25 18:39,2/21/25 18:58,9999T,,Closed by Other Means,,PUB,Z4,Tenth Street @ Northside Drive  Z4,,,Tenth Street NW & Northside Drive NW,33.781583,-84.407442
25020402,2/21/25 15:40,2/21/25 15:45,240,Motor Vehicle Theft,Closed by Arrest,Not Applicable,ONCAM,Z2,Success Center,219,,Uncle Heinie Way NW,33.77244111,-84.39395201
25020404,2/21/25 21:12,2/21/25 21:58,9999,,Closed by Arrest,Not Applicable,PUB,Z2,Ferst Drive  NW @ Fowler Street  NW,,,,,
25020404,2/21/25 21:12,2/21/25 21:58,9999T,,Closed by Arrest,Not Applicable,PUB,Z2,Ferst Drive  NW @ Fowler Street  NW,,,,,
25020404,2/21/25 21:12,2/21/25 21:58,9999T,,Closed by Arrest,Not Applicable,PUB,Z2,Ferst Drive  NW @ Fowler Street  NW,,,,,
25020406,2/21/25 23:55,2/22/25 0:39,9999EMS,,Closed by Exception,Prosecution Declined,PUB,Z1,Tau Kappa Epsilon Fraternity,159,,Fifth Street NW,33.77719094,-84.39236647
25020406,2/21/25 23:55,2/22/25 0:39,90G,Liquor Law Violations,Closed by Exception,Prosecution Declined,PUB,Z1,Tau Kappa Epsilon Fraternity,159,,Fifth Street NW,33.77719094,-84.39236647
25020406,2/21/25 23:55,2/22/25 0:39,8399,,Closed by Exception,Prosecution Declined,PUB,Z1,Tau Kappa Epsilon Fraternity,159,,Fifth Street NW,33.77719094,-84.39236647
25020399,2/21/25 2:06,2/21/25 2:50,8399,,Closed by Exception,Prosecution Declined,ONCAMRES,Z1,Graduate Living Center,301,,Tenth Street NW,33.78195744,-84.39660566
25020399,2/21/25 2:06,2/21/25 2:50,90Z,All Other Offenses,Closed by Exception,Prosecution Declined,ONCAMRES,Z1,Graduate Living Center,301,,Tenth Street NW,33.78195744,-84.39660566
25020399,2/21/25 2:06,2/21/25 2:50,90G,Liquor Law Violations,Closed by Exception,Prosecution Declined,ONCAMRES,Z1,Graduate Living Center,301,,Tenth Street NW,33.78195744,-84.39660566
25020399,2/21/25 2:06,2/21/25 2:50,250,Counterfeiting/Forgery,Closed by Exception,Prosecution Declined,ONCAMRES,Z1,Graduate Living Center,301,,Tenth Street NW,33.78195744,-84.39660566
25020400,2/20/25 23:00,2/21/25 12:56,9999MH,,Closed by Other Means,Not Applicable,NONCLERY,Z2,Square on Fifth Apartments (SQ5),848,,Spring Street NW,33.778274,-84.389338
25020396,2/20/25 17:42,2/20/25 17:43,9999,,Closed by Other Means,,ONCAM,Z4,Campus Recreation Center,750,,Ferst Drive NW,33.77546401,-84.40349901
25020395,2/20/25 9:30,2/20/25 13:10,9999T,,Inactive,Not Applicable,ONCAM,Z2,Georgia Tech Hotel Parking Deck,800,,Spring St NW,33.781162,-84.403603
25020448,2/20/25 10:30,2/26/25 12:00,T-Bike,,Unfounded,Not Applicable,ONCAM,Z3,,410,,4TH ST NW,33.781162,-84.403603
25020394,2/20/25 12:58,nan nan,9999,,Active,,NONCAM,OFFCAM,,965,,Hemphill Ave NW,,
25020387,2/19/25 1:43,2/19/25 2:45,9999T,,Closed by Arrest,Not Applicable,PUB,Z4,GTRI North (430 Tenth Street)   61   Z1,430,,Tenth Street NW,33.78115,-84.401488
25020387,2/19/25 1:43,2/19/25 2:45,9999T,,Closed by Arrest,Not Applicable,PUB,Z4,GTRI North (430 Tenth Street)   61   Z1,430,,Tenth Street NW,33.78115,-84.401488
25020387,2/19/25 1:43,2/19/25 2:45,90D,Driving Under the Influence,Closed by Arrest,Not Applicable,PUB,Z4,GTRI North (430 Tenth Street)   61   Z1,430,,Tenth Street NW,33.78115,-84.401488
25020389,2/19/25 8:00,2/19/25 15:47,9999,,Closed by Other Means,Not Applicable,PUB,Z2,Bobby Dodd Way & Power Plant Drive  Z2,,,Bobby Dodd Way & Power Plant Dr NW,33.77391,-84.394916
25020392,2/19/25 23:38,2/20/25 2:37,90J,Trespass of Real Property,Closed by Arrest,Not Applicable,ONCAMRES,Z2,NAA North,120,,North Avenue NW,33.77058,-84.39095
25020390,2/19/25 19:19,2/19/25 20:14,9999,,Closed by Other Means,Not Applicable,ONCAM,Z4,Campus Recreation Center Parking Deck,750,,Ferst Drive NW,33.77619076,-84.40390717
25020391,2/19/25 23:00,2/19/25 23:01,9999EMS,,Closed by Other Means,,ONCAM,Z4,Campus Recreation Center,750,,Ferst Drive NW,33.77546401,-84.40349901
25020386,2/19/25 0:40,2/19/25 1:21,35A,Drug/Narcotic Violations,Closed by Arrest,Not Applicable,NONCLERY,Z4,,,,NORTH AVE NW@NORTHSIDE DR NW,,
25020388,2/19/25 8:15,2/19/25 8:25,9999T,,Closed by Arrest,Not Applicable,ONCAM,Z4,Tech Parkway @ Northside Drive Overpass,,,,33.77546401,-84.40349901
25020424,2/19/25 0:00,2/20/25 23:59,9999,,Closed by Other Means,Not Applicable,NONCLERY,OFFCAM,i75,,,,,
25020370,2/18/25 10:00,2/18/25 10:00,9999,,Active,Not Applicable,ONCAM,Z2,Old Civil Engineering Bldg  58  Z2,221,,BOBBY DODD WAY NW,33.77379,-84.39206
25020372,2/18/25 11:45,2/18/25 11:46,90C,Disorderly Conduct,Closed by Arrest,Not Applicable,PUB,Z2,Tin Drum Asia Cafe,88,,Fifth Street NW,33.776699,-84.3901
25020366,2/18/25 3:15,2/18/25 4:00,9999T,,Closed by Arrest,Not Applicable,PUB,Z2,North Avenue @ Techwood Drive  Z2,,,North Avenue NW & Techwood Drive NW,33.77131,-84.392067
25020382,2/18/25 21:37,2/18/25 22:18,9999F,,Closed by Other Means,Not Applicable,ONCAM,Z2,NAA Dining Hall   191   Z2,120,,North Avenue NW,33.77101,-84.3913
25020378,2/18/25 12:28,2/18/25 15:38,90Z,All Other Offenses,Closed by Arrest,Not Applicable,ONCAM,Z2,Price Gilbert Library,260,,Fourth Street NW,33.77447174,-84.39492617
25020378,2/18/25 12:28,2/18/25 15:38,290,Destruction/Damage/Vandalism of Property,Closed by Arrest,Not Applicable,ONCAM,Z2,Price Gilbert Library,260,,Fourth Street NW,33.77447174,-84.39492617
25020378,2/18/25 12:28,2/18/25 15:38,240,Motor Vehicle Theft,Closed by Arrest,Not Applicable,ONCAM,Z2,Price Gilbert Library,260,,Fourth Street NW,33.77447174,-84.39492617
25020378,2/18/25 12:28,2/18/25 15:38,90B,Curfew/Loitering/Vagrancy Violations,Closed by Arrest,Not Applicable,ONCAM,Z2,Price Gilbert Library,260,,Fourth Street NW,33.77447174,-84.39492617
25020378,2/18/25 12:28,2/18/25 15:38,90J,Trespass of Real Property,Closed by Arrest,Not Applicable,ONCAM,Z2,Price Gilbert Library,260,,Fourth Street NW,33.77447174,-84.39492617
25020393,2/18/25 8:00,2/20/25 11:00,26A,False Pretenses/Swindle/Confidence Game,Active,Not Applicable,NONCLERY,Z1,Inspire Atlanta,564,,Centennial Olympic Park Drive NW,33.770325,-84.392557
25020366,2/18/25 3:15,2/18/25 4:00,35A,Drug/Narcotic Violations,Closed by Arrest,Not Applicable,PUB,Z2,North Avenue @ Techwood Drive  Z2,,,North Avenue NW & Techwood Drive NW,33.77131,-84.392067
25020373,2/18/25 12:30,2/18/25 13:00,26A,False Pretenses/Swindle/Confidence Game,Active,Not Applicable,ONCAMRES,Z2,NAA North  191  Z2,120,,North Avenue NW,33.77058,-84.39095
25020385,2/18/25 23:25,2/18/25 23:43,35A,Drug/Narcotic Violations,Closed by Arrest,Not Applicable,PUB,Z2,,200,,8TH ST NW,,
25020367,2/18/25 5:10,2/18/25 5:45,9999T,,Closed by Arrest,Not Applicable,NONCLERY,Z1,,,,NORTHSIDE DR NW,,
25020365,2/18/25 0:13,2/18/25 0:48,9999T,,Closed by Arrest,Not Applicable,PUB,Z2,,,,North Avenue  and Techwood Drive,,
25020374,2/18/25 10:19,2/18/25 10:38,240,Motor Vehicle Theft,Closed by Arrest,Not Applicable,ONCAM,,Weber Building (SST III)  98   Z2,275,,Ferst Drive NW,33.77264986,-84.39632018
25020374,2/18/25 10:19,2/18/25 10:38,90B,Curfew/Loitering/Vagrancy Violations,Closed by Arrest,Not Applicable,ONCAM,,Weber Building (SST III)  98   Z2,275,,Ferst Drive NW,33.77264986,-84.39632018
25020374,2/18/25 10:19,2/18/25 10:38,90J,Trespass of Real Property,Closed by Arrest,Not Applicable,ONCAM,,Weber Building (SST III)  98   Z2,275,,Ferst Drive NW,33.77264986,-84.39632018
25020374,2/18/25 10:19,2/18/25 10:38,290,Destruction/Damage/Vandalism of Property,Closed by Arrest,Not Applicable,ONCAM,,Weber Building (SST III)  98   Z2,275,,Ferst Drive NW,33.77264986,-84.39632018
25020374,2/18/25 10:19,2/18/25 10:38,90Z,All Other Offenses,Closed by Arrest,Not Applicable,ONCAM,,Weber Building (SST III)  98   Z2,275,,Ferst Drive NW,33.77264986,-84.39632018
25020381,2/18/25 20:34,nan nan,9999V,,Active,,ONCAM,,Georgia Tech Police Department   211   Z1,965,,Hemphill Avenue NW,33.781162,-84.403603
25020385,2/18/25 23:25,2/18/25 23:43,9999T,,Closed by Arrest,Not Applicable,PUB,Z2,,200,,8TH ST NW,,
25020385,2/18/25 23:25,2/18/25 23:43,9999T,,Closed by Arrest,Not Applicable,PUB,Z2,,200,,8TH ST NW,,
25020360,2/17/25 15:11,2/16/25 2:00,9999,,Closed by Other Means,Not Applicable,NONCLERY,Z4,Georgia Tech Police Department   211,965,,Hemphill Avenue NW,33.781162,-84.403603
25020362,2/17/25 18:00,2/17/25 19:30,240,Motor Vehicle Theft,Closed by Arrest,Not Applicable,ONCAM,Z2,Wardlaw Center,177,,North Avenue NW,33.77168558,-84.39281295
25020356,2/17/25 7:39,2/17/25 7:39,9999EMS,,Closed by Other Means,Not Applicable,PUB,Z4,Ferst Drive @ Sixth Street   Z4,,,Ferst Drive NW & Sixth Street NW,33.777287,-84.402409
25020361,2/17/25 18:32,2/17/25 19:38,9999EMS,,Closed by Other Means,,ONCAM,Z3,Van Leer Electrical Engineering Building,777,,Atlantic Drive NW,33.77585591,-84.39717081
25020364,2/17/25 21:59,2/18/25 22:35,T-Bike,,Closed by Arrest,Not Applicable,ONCAM,Z3,Klaus Advanced Computing Building   153   Z3,266,,Ferst Drive NW,33.77716232,-84.39618136
