Ca Number,Incident Type,Date/Time Occurred,Date/Time Reported,Location,Disposition
UM 24-361946,U of Force,12/22/2024 1455,12/26/24,1081 13th Ave ,Closed
UM 24-364942,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft,12/25/2024 1800,12/26/24,2096 Rolawn Ave W,
UM 24-365244,Speeding / No Valid Driver's Licen / No Insurance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,12/26/2024 1724,12/26/24,Larpenteur Ave W / Coffman St,Closed
UM 24-365420,U of Force,12/26/2024 1957,12/26/24,330 5th St ,Closed
UM 24-364348,Miscellaneous,12/25/2024 1251,12/25/24,2407 University Ave ,Closed
UM 24-364431,Narcotics Violation / Trespass / Posssion of Burglary Tools / Register x Offender,12/25/2024 1538,12/25/24,269 19th Ave S,
UM 24-364008,Auto Theft,12/24/2024 2100,12/24/24,659 Delaware St ,
UM 24-361724,Trespass,12/22/2024 0802,12/22/24,80 Church St ,Closed
UM 24-359081,Driving After Revocation,12/19/2024 1325,12/23/24,Hennepin Ave E / Industrial Blvd,Closed
UM 24-362519,Burglary of Business,12/16/2024 0900,12/23/24,75 East River Pkwy,Closed
UM 24-362707,Burglary of Business,11/15/2024 1200,12/23/24,600 Main St ,Closed
UM 24-361634,Miscellaneous,12/22/2024 0258,12/22/24,Washington Ave  / Walnut St,Closed
UM 24-361548,Driving After Revocation,12/22/2024 0027,12/22/24,Hennepin Ave E / 23rd Ave ,Closed
UM 24-361571,Driving After Revocation,12/22/2024 0056,12/22/24,Washington Ave  / Huron Blvd,Closed
UM 24-361577,Health Welfare Hold,12/22/2024 0012,12/22/24,1501 University Ave ,Closed
UM 24-360549,Trespass / Warrant,12/20/2024 2259,12/21/24,501 Washington Ave ,Arrest
UM 24-360601,Miscellaneous,12/20/2024 2355,12/21/24,4th St  / 14th Ave ,
UM 24-360623,Recover Property,12/21/2024 0028,12/21/24,5th St  / 17th Ave ,Closed
UM 24-360696,Carjacking,12/21/2024 0229,12/21/24,Church St  / Washington Ave,
UM 24-360863,Miscellaneous,12/19/2024 1200,12/21/24,229 19th Ave S,Closed
UM 24-361376,Miscellaneous,12/21/2024 2111,12/21/24,15th Ave  / Brook Ave ,Closed
UM 24-361392,Driving After Revocation,12/21/2024 2127,12/21/24,12th Ave  / 4th St ,Closed
UM 24-359673,Theft from Building,12/19/2024 1900,12/20/24,500 Harvard St ,
UM 24-360499,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,12/20/2024 2000,12/20/24,1018 27th Ave ,Closed
UM 24-360506,Trespass,12/20/2024 2206,12/20/24,301 19th Ave S,Closed
UM 24-358834,Shoplifting / Trespass,12/19/2024 0646,12/19/24,604 Washington Ave ,
UM 24-358985,Assault,12/19/2024 1138,12/19/24,701 Fulton St ,
UM 24-359097,Recover Property,12/19/2024 1340,12/19/24,880 Washington Ave ,Closed
TC24-135,Stalking,12/7/2024-Prent,12/19/24,Pioneer Hall,Reported
TC24-136,Liquor Law Violation x2,12/14/24 1:30,12/19/24,Pioneer Hall,Disciplinary Referral
TC24-137,Drug Law Violation,12/12/24 0:30,12/19/24,Pioneer Hall,Disciplinary Referral
UM 24-358255,Driving After Revocation / No Proof of Insurance,12/18/2024 1333,12/18/24,Washington Ave  / Huron Blvd,Closed
UM 24-357988,Trespass,12/18/2024 0821,12/18/24,516 Delaware St ,Closed
UM 24-358089,Theft from Building,12/17/2024 1414,12/18/24,326 17th Ave ,Closed
UM 24-358057,Squad Accident,12/18/2024 0954,12/18/24,2301 6th St ,Closed
UM 24-258446,No Valid Driver's Licen,12/18/2024 1740,12/18/24,4th St  / 29th Ave ,Closed
UM 24-358482,Recovered Vehicle,12/18/2024 1811,12/18/24,200 Blk 10th Ave ,Closed
UM 24-358616,Damage to Property,12/17/2024 1900,12/18/24,526 Delaware St ,Inactive
UM 24-358626,Driving After Revocation / No Proof of,12/18/2024 2114,12/18/24,14th Ave  / Como Ave ,Closed
UM 24-358650,Insurance,12/18/2024 2202,12/18/24,321 19th Ave S,Arrest
TC24-132,Liquor Law Violation,12/15/24 3:15,12/18/24,Bailey Hall,Disciplinary Referral
TC24-133,Liquor Law Violation,12/15/24 0:25,12/18/24,17th Avenue Residence Hall,Disciplinary Referral
TC24-134,Rape*,2023,12/18/24,Minneapolis Campus,Disciplinary Referral
TC24-134,Stalking,2023,12/18/24,Minneapolis Campus,Reported
MP 24-335793,Assault,12/15/24 19:00,12/18/24,2312 6th St S,Reported
UM 24-357632,Driving After Cancellation / No Proof of,12/17/2024 1826,12/17/24,15th Ave  / 8th St ,Closed
UM 24-356207,Damage to Property,12/13/2024 1200,12/16/24,2017 Buford Ave,Inactive
UM 24-356606,Traffic Law Enforcement,12/16/2024 1723,12/16/24,Superior St  / River Pkwy E,Closed
UM 24-356733,Missing Person,12/16/2024 1943,12/16/24,500 Harvard St ,Closed
UM 24-356074,Miscellaneous,12/16/2024 0311,12/16/24,500 Harvard St ,Closed
UM 24-355197,Health Welfare Hold,12/15/2024 0025,12/15/24,326 17th Ave ,Closed
UM 24-355820,Damage to Property-Graffitti,12/15/2024 1952,12/15/24,13th Ave  / 4th St ,
UM 24-354398,Health Welfare Hold / U of Force,12/14/2024 0340,12/14/24,722 12th Ave ,Closed
UM 24-354439,Recover Property,12/14/2024 0100,12/14/24,4th St  / 14th Ave ,Closed
UM 24-354618,Impound Abandoned Vehicle,12/14/2024 1148,12/14/24,501 Pillsbury Dr ,Closed
UM 24-354752,Health Welfare Hold / Crisis Intervention,12/14/2024 1531,12/14/24,2515 University Ave ,Closed
UM 24-354987,Mysterious Disappearance,12/14/2024 1700,12/14/24,1625 4th St ,Closed
UM 24-355026,No Proof of Insurance,12/14/2024 2100,12/14/24,NB I35W to University Ave ,Closed
UM 24-353496,Burglary of Business,12/06/2024 0800,12/13/24,2017 Buford Ave,Inactive
UM 24-353554,Impound Abandoned Vehicle,12/13/2024 0923,12/13/24,501 Pullsbury Dr ,Closed
UM 24-353577,Driving After Revocation,12/13/2024 0958,12/13/24,26th Ave  / University Ave,Closed
UM 24-353734,Warrant,12/13/2024 1336,12/13/24,2601 University Ave ,Arrest
UM 24-354085,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,12/13/2024 2002,12/13/24,80 Church St ,Closed
UM 24-354174,Theft from Building,12/13/2024 1650,12/13/24,225 19th Ave S,Inactive
TC24-128,Liquor Law Violation,12/11/24 1:43,12/13/24,Comstock Hall,Disciplinary Referral
TC24-129,Liquor Law Violation,12/7/24,12/13/24,17th Avenue Residence Hall,Disciplinary Referral
TC24-130,Liquor Law Violation,12/6/24 23:00,12/13/24,Pioneer Hall,Disciplinary Referral
TC24-131,Stalking,November 2024 - Prent,12/13/24,Minneapolis Campus (Electronic),Reported
UM 24-352722,Trespass / Warrant,12/12/2024 0922,12/12/24,620 Washington Ave ,Arrest
UM 24-352771,Trespass,12/12/2024 1045,12/12/24,615 Washington Ave ,Closed
UM 24-351788,Impound Abandoned Vehicle,12/11/2024 0740,12/11/24,9 Pleasant St ,Closed
UM 24-351945,Driving After Revocation,12/11/2024 1125,12/11/24,1000 University Ave ,Closed
UM 24-352062,Impound Abandoned Vehicle,12/11/2024 1347,12/11/24,Buford Ave / Eckles Ave,Closed
UM 24-352153,Blocking/Obstructing Traffic,12/11/2024 1602,12/11/24,515 Delaware St ,Closed
UM 24-352236,Trespass,12/11/2024 1734,12/11/24,111 Church St ,Arrest
UM 24-352275,Property Damage Accident Report,12/11/2024 1800,12/11/24,321 14th Ave ,Closed
UM 24-352416,Driving After Suspension,12/11/2024 2119,12/11/24,4th St  / 15th Ave ,Closed
UM 24-349955,Theft From Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,12/08/2024 0758,12/9/24,401 Oak St ,Inactive
UM 24-350861,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,12/05/2024 0800,12/10/24,300 19th Ave S,Closed
UM 24-351062,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,12/10/2024 1248,12/10/24,6th St  / 25th Ave ,Closed
UM 24-350726,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,12/10/2024 0124,12/10/24,Franklin Ave E / Cedar Ave S,Closed
TC24-125,Liquor Law Violation,12/5/24 19:43,12/10/24,Centennial Hall,Disciplinary Referral
TC24-126,Liquor Law Violation x5,12/7/24 23:30,12/10/24,Centennial Hall,Disciplinary Referral
TC24-127,Liquor Law Violation x4,12/8/24 1:30,12/10/24,Frontier Hall,Disciplinary Referral
UM 24-349306,Theft,12/07/2024 1900,12/9/24,326 17th Ave ,
UM 24-350019,Miscellaneous,12/06/2024 1200,12/9/24,425 13th Ave ,Closed
UM 24-350075,Trespass / Warrant,12/09/2024 1040,12/9/24,505 Delaware St ,Arrest
UM 24-350168,Package Theft,12/04/2024 1352,12/9/24,1250 Fifield St,Closed
UM 24-350298,Auto Theft,12/09/2024 1203,12/9/24,717 Delaware St ,
UM 24-350571,Package Theft,12/04/2024 1001,12/9/24,2515 University Ave ,Inactive
MP 24-345349,Assault/Damage to Property,12/4/24 9:26,12/9/24,2450 Riverside Ave S,Reported
MP 24-718427,Theft,11/8/24 23:32,12/9/24,1813 University Ave ,Reported
MP 24-349086,Auto Theft,12/8/24 2:45,12/9/24,701 15th Ave ,Reported
UM 24-348872,Warrant,12/07/2024 2211,12/8/24,University Ave  / 16th Ave,Closed
UM 24-348974,Driving After Revocation,12/08/2024 0000,12/8/24,University Ave  / 15th Ave,Closed
UM 24-349021,Driving After Revocation / Failure to Obey Traffic Control,12/08/2024 0121,12/8/24,15th Ave  / 4th St ,Closed
UM 24-349810,Warrant,12/08/2024 2343,12/8/24,300 19th Ave S,Arrest
UM 24-348899,Warrant,12/07/2024 2231,12/7/24,University Ave  / 15th Ave,Closed
UM 24-348113,Squad Accident,12/07/2024 0124,12/7/24,1 Washington Ave ,Closed
UM 24-348310,Uncure Business,12/07/2024 0942,12/7/24,1420 Eckles Ave,Closed
UM 24-348578,Health Welfare Hold,12/07/2024 1643,12/7/24,210 Delaware St ,Closed
UM 24-348624,No Valid Driver's Licen,12/07/2024 1729,12/7/24,Delaware St  / Walnut St ,Closed
UM 24-348749,Miscellaneous,12/07/2024 1951,12/7/24,2001 University Ave ,Closed
UM 24-348791,Driving After Revocation,12/07/2024 2042,12/7/24,1200 University Ave ,Closed
UM 24-346984,Trespass,12/06/2024 0023,12/6/24,269 19th Ave S,Closed
UM 24-347309,Theft from Building,12/05/2024 0100,12/6/24,100 Union St ,
UM 24-347429,Crisis Intervention,12/06/2024 1342,12/6/24,1 10th Ave ,Closed
UM 24-347942,Non-Vehicular Accident,12/06/2024 2230,12/6/24,Washington Ave  / Harvard St,Closed
TC24-122,Liquor Law Violations x2,11/27/24 1:15,12/6/24,Territorial Hall,Disciplinary Referral
TC24-123,Liquor Law Violation,11/30/24 22:00,12/6/24,Territorial Hall,Disciplinary Referral
TC24-124,Burglary,11/17/24 3:15,12/6/24,Sanford Hall,Reported
UM 24-347055,Warrant,12/06/2024 0234,12/6/24,University Ave  / 27th Ave,Arrest
UM 24-346157,Narcotics Violation / Fal Info / Health Welfare Hold / Warrant,12/05/2024 0031,12/5/24,1501 Washington Ave S,
UM 24-346357,Trespass,12/05/2024 0943,12/5/24,615 Washington Ave ,Closed
UM 24-346539,Trespass,12/05/2024 1401,12/5/24,75 East River Pkwy,Closed
UM 24-346804,Uncure Business,12/05/2024 1934,12/5/24,515 Delaware St ,Closed
UM 24-346071,Driving After Revocation,12/04/2024 2207,12/5/24,University Ave  / Malcolm,Closed
UM 24-345425,Warrant,12/04/2024 0910,12/4/24,4th St  / 13th Ave ,Arrest
UM 24-345467,Theft / Damage to Property,12/04/2024 1004,12/4/24,Transitway / Hwy 280,Inactive
UM 24-345482,Mysterious Disappearance,08/01/2024 1200,12/4/24,4300 Glumack Dr,Closed
UM 24-345754,Impound Abandoned Vehicle,12/04/2024 1550,12/4/24,1002 Esx St ,Closed
UM 24-345843,Trespass,12/04/2024 1719,12/4/24,615 Washington Ave ,Closed
UM 24-345838,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,12/02/2024 1930,12/2/24,1003 29th Ave ,
MP 24-718029,Package Theft,9/20/24 14:14,12/4/24,310 15th Ave ,Reported
UM 24-345058,Harassment,12/03/2024 1907,12/3/24,701 15th Ave ,Closed
UM 24-343557,Driving After Revocation,12/02/2024 0030,12/2/24,Huron Blvd  / Esx St ,Closed
UM 24-343893,Trespass / Health Welfare Hold,12/02/2024 1032,12/2/24,412 22nd Ave S,Closed
UM 24-343939,Lost Property - No Crime,11/28/2024 2359,12/2/24,7150 Humphrey Dr,Closed
UM 24-343528,Driving After Revocation,12/01/2024 2344,12/2/24,403 14th Ave ,Closed
UM 24-343564,No Valid Driver's Licen,12/02/2024 0037,12/2/24,4th St  / 14th Ave ,Closed
UM 24-343585,Driving After Suspension,12/02/2024 0116,12/2/24,Cedar Ave S / Riverside Ave,Closed
UM 24-342700,Driving After Suspension,12/01/2024 0013,12/1/24,Walnut St  / Washington Ave,Closed
UM 24-342846,Damage to Property Report,12/01/2024 0419,12/1/24,229 19th Ave S,Closed
UM 24-342970,Miscellaneous,12/01/2024 0946,12/1/24,505 Washington Ave ,Closed
UM 24-343330,Health Welfare Hold,12/01/2024 1803,12/1/24,1 Washington Ave ,Closed
UM 24-343363,Auto Theft,11/30/2024 2330,12/1/24,400 21st Ave S,
UM 24-341897,Posss Stolen Firearm / Unlawful Posssion of Firearm,11/30/2024 0117,11/30/24,4th St  / 10th Ave ,
UM 24-342034,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Damage to Motor Vehicle / Tamper with Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,11/30/2024 0744,11/30/24,1101 University Ave ,
UM 24-342040,Miscellaneous,11/23/2024 1600,11/30/24,701 15th Ave ,Closed
UM 24-342098,Damage to Property Report,11/30/2024 1012,11/30/24,Walnut St  / Washington Ave,Closed
UM 24-342179,Auto Theft,11/30/2024 1226,11/30/24,601 Delaware St ,
UM 24-342246,Driving While Intoxicated,11/30/2024 1417,11/30/24,333 East River Pkwy,
UM 24-342492,Warrant,11/30/2024 2007,11/30/24,505 Washington Ave ,Arrest
UM 24-341136,Auto Theft,11/29/2024 0131,11/29/24,17th Ave  / University Ave,
UM 24-340439,Miscellaneous,11/25/2024 1800,11/28/24,601 Delaware St ,Closed
UM 24-340506,Assault,11/28/2024 0125,11/28/24,Washington Ave  / Walnut St,Inactive
UM 24-340618,Assault,11/28/2024 0700,11/28/24,500 Harvard St ,
UM 24-339590,Hit/Run Property Damage,11/27/2024 0017,11/27/24,4th St  / 10th Ave ,Closed
UM 24-340075,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,11/27/2024 0830,11/27/24,2001 Bloomington Ave,
UM 24-340181,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,11/27/2024 1730,11/27/24,1031 29th Ave ,
UM 24-340368,Warrant,11/27/2024 2144,11/27/24,1002 Esx St ,Closed
MP 24-717654,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,11/16/24 8:30,11/27/24,Riverside Ave & 23rd Ave S,Reported
MP 24-335193,Assault with Dangerous Weapon,11/22/24 10:00,11/27/24,2450 Riverside Ave S,Reported
MP 24-335597,Violate of Protection Order,11/22/24 20:38,11/27/24,2450 Riverside Ave S,Reported
MP 24-717770,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,11/23/24 15:50,11/27/24,5th St S & 22nd Ave S,Reported
UM 24-339530,Posss Fal/Altered ID / Consumption of Liquor by Minor / Crisis Intervention,11/26/2024 2259,11/27/24,Esx St  / Oak St ,Closed
UM 24-338911,Burglary of Business,11/21/2024  0700,11/26/24,301 19th Ave S,Active
UM 24-338775,Trespass,11/26/2024 0738,11/26/24,111 Church St ,Arrest
UM 24-338004,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,11/25/2024 0700,11/25/24,401 Oak St ,
UM 24-338108,Fal Name or Info / Flee Officer on Foot,11/25/2024 1248,11/25/24,510 Cedar Ave,
UM 24-338183,Damage to Property Graffiti,11/25/2024 1300,11/25/24,318 15th Ave S,Inactive
UM 24-338192,Miscellaneous,11/25/2024 1424,11/25/24,200 Oak St ,
UM 24-338257,Bike Theft,11/16/2024 1200,11/25/24,1212 University Ave ,Inactive
UM 24-338264,Identity Theft / Register x Offender / Warrant,11/25/2024 1550,11/25/24,620 Washington Ave ,
UM 24-337207,Bike Theft,11/15/2024 1430,11/24/24,614 Delaware St ,Closed
UM 24-337648,Non-Vehicular Accident,11/24/2024 2155,11/24/24,123 Harvard St ,Closed
UM 24-336794,Warrant,11/23/2024 1102,11/24/24,501 Washington Ave ,Arrest
UM 24-337039,Property Damage Accident Report,11/24/2024 0530,11/24/24,1925 University Ave ,Closed
UM 24-337158,Warrant,11/24/2024 1046,11/24/24,1300 2nd St S,Arrest
UM 24-337439,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,11/10/2024 1200,11/24/24,1300 2nd St S,Inactive
UM 24-336317,Recovered Vehicle,11/23/2024 1350,11/23/24,319 12th Ave ,Closed
UM 24-336452,No Proof of Insurance,11/23/2024 1701,11/23/24,4th St  / Oak St ,Closed
UM 24-336496,Theft,11/23/2024 1210,11/23/24,1609 University Ave ,Inactive
UM 24-336629,Health Welfare Hold / Crisis Intervention,11/23/2024 2007,11/23/24,1 Washington Ave ,Closed
UM 24-336756,Health Welfare Hold,11/23/2024 2225,11/23/24,1 Washington Ave ,Closed
UM 24-336761,Driving After Cancellation,11/23/2024 2234,11/23/24,12th Ave S / 2nd St S,Closed
UM 24-334869,Traffic Law Enforcement / No Insurance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,11/22/2024 0022,11/22/24,1900 University Ave ,Closed
UM 24-335006,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,11/21/2024 2116,11/22/24,University Ave  / Walnut St,Inactive
UM 24-335194,Theft from Building,11/19/2024 0000,11/22/24,1458 Cleveland Ave,Inactive
UM 24-335201,Recovered Vehicle,11/22/2024 1206,11/22/24,23rd Ave  / Intercampus Transitway,
UM 24-335322,Miscellaneous,11/22/2024 1414,11/22/24,505 Washington Ave ,Closed
UM 24-335644,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,11/22/2024 1940,11/22/24,4th St  / 15th Ave ,
UM 24-335745,No Valid Driver's Licen,11/22/2024 2134,11/22/24,University Ave  / Oak St ,Closed
UM 24-335749,Driving While Intoxicated / Cancelled IPS,11/22/2024 2136,11/22/24,7th St  / 15th Ave ,
MP 24-717561,Bike Theft,11/18/24 0:00,11/22/24,1122 University Ave ,Reported
UM 24-334358,Theft of Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Parts,11/21/2024 0630,11/21/24,21 11th Ave ,Inactive
UM 24-333306,Theft,11/14/2024 1700,11/20/24,2106 4th St S,Inactive
UM 24-327814,No Valid Driver's Licen,11/14/2024 2039,11/20/24,Washington Ave S / 35W North,Closed
UM 24-332910,Driving While Intoxicated,11/19/2024 2155,11/20/24,Washington Ave  / Harvard St,Closed
UM 24-333212,Non-Vehicular Accident,11/20/2024 0925,11/20/24,401 Oak St ,Closed
UM 24-333228,Miscellaneous,11/20/2024 1148,11/20/24,200 Oak St ,Closed
UM 24-333265,Driving After Revocation / No Proof of Insurance,11/20/2024 1036,11/20/24,University Ave  / Huron Blvd,Closed
UM 24-333412,Driving After Suspension / No Proof of Insurance,11/20/2024 1307,11/20/24,University Ave  / 29th Ave,Closed
UM 24-333493,Harassment,11/13/2024 1418,11/20/24,701 Fulton St ,
UM 24-333517,Crisis Intervention,11/20/2024 1450,11/20/24,210 Delaware St ,Closed
UM 24-333647,Non-Vehicular Accident,11/20/2024 1700,11/20/24,222 Pleasant St ,Closed
UM 24-333689,Warrant,11/20/2024 1736,11/20/24,9th Ave  / 8th St ,Closed
UM 24-333721,Property Damage Accident Report,11/20/2024 1749,11/20/24,19th Ave S / 3rd St S,Closed
UM 24-333863,Assault,11/20/2024 1730,11/20/24,123 Harvard St ,
UM 24-333911,Careless Driving,11/20/2024 2115,11/20/24,1 Washington Ave ,Closed
UM 24-333918,Recover Property,11/20/2024 2122,11/20/24,229 19th Ave S,Closed
UM 24-333939,Property Damage Accident Report,11/20/2024 2153,11/20/24,128 Union St ,Closed
TC24-119,Liquor Law Violations x4,11/15/24 21:30,11/20/24,Sanford Hall,Disciplinary Referral
TC24-120,Liquor Law Violation,11/8/24 0:35,11/20/24,Middlebrook Hall,Disciplinary Referral
MP 24-717224,Bike Theft,11/15/24 16:30,11/20/24,229 19th Ave S,Reported
MP 24-716754,Theft,11/7/24 16:00,11/20/24,400 21st Ave S,Reported
MP 24-716967,Bike Theft,11/12/24 22:45,11/20/24,412 22nd Ave S,Reported
MP 24-232720,Indecent Exposure,11/10/24 9:00,11/20/24,2312 6th St S,Reported
MP 24-331274,Assault,10/9/24 15:00,11/20/24,2450 Riverside Ave S,Reported
MP 24-327052,Assault,11/14/24 8:45,11/20/24,2450 Riverside Ave S,Reported
MP 24-327895,Hit and Run with Injury,11/14/24 20:00,11/20/24,Huron Blvd  & Esx St. ,Reported
MP 24-332307,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,11/19/24 10:00,11/20/24,Erie St  & Delaware St ,Reported
MP 24-717132,Damage to Property,11/12/24 9:20,11/20/24,128 Pleasant St ,Reported
MP 24-717060,Bike Theft,11/11/24 17:30,11/20/24,1122 University Ave ,Reported
MP 24-332594,Auto Theft,11/18/24 19:30,11/20/24,1400 4th St ,Reported
UM 24-332990,Trespass / Flee Officer on Foot,11/19/2024 2338,11/20/24,Washington Ave S / 35W,
UM 24-333027,Warrant,11/20/2024 0104,11/20/24,2nd St S / 19th Ave S,Arrest
UM 24-332081,Trespass,11/18/2024 2354,11/19/24,269 19th Ave S,Closed
UM 24-332189,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,11/18/2024 0615,11/19/24,385 East River Pkwy,
UM 24-332198,Recover Property,11/19/2024 0722,11/19/24,2450 Riverside Ave,
UM 24-332793,Bike Theft,11/19/2024 1849,11/19/24,222 Pleasant St ,
UM 24-331541,Property Damage Accident Report / No Proof of Insurance,11/18/2024 1333,11/18/24,University Ave  / 10th Ave,Closed
UM 24-331745,Impound Abandoned Vehicle,11/18/2024 1652,11/18/24,Buford Ave / Eckles Ave,Closed
UM 24-331214,Miscellaneous,11/18/2024 0627,11/18/24,319 12th Ave ,Inactive
UM 24-331231,Burglary of Business,11/15/2024 1200,11/18/24,2017 Buford Ave,Inactive
UM 24-331296,Bike Theft,11/15/2024 1700,11/18/24,701 15th Ave ,Inactive
UM 24-331380,Impound Abandoned Vehicle,11/18/2024 1048,11/18/24,200 East River Pkwy,Closed
UM 24-331393,Recover Property,11/18/2024 1053,11/18/24,University Ave  / 14th Ave,Closed
UM 24-331417,Damage to Property Report,11/18/2024 1118,11/18/24,Delaware St  / Church St ,Inactive
UM 24-331495,Recover Property,11/18/2024 1245,11/18/24,2301 6th St ,Closed
UM 24-331511,Theft,11/11/2024 1100,11/18/24,412 22nd Ave S,Inactive
UM 24-331582,Damage to Property,11/18/2024 0955,11/18/24,222 Pleasant St ,
UM 24-331634,Theft from Building,11/18/2024 1422,11/18/24,326 17th Ave ,
UM 24-331887,Hit/Run No Injury,11/18/2024 1700,11/18/24,10th Ave  / University Ave,Inactive
TC24-117,Stalking,April 2023 - October 2024,11/18/24,Minneapolis Campus (Electronic),Reported
TC24-118,Liquor Law Violations x9,11/14/24 23:15,11/18/24,Bailey Hall,Disciplinary Referral
UM 24-331101,Warrant,11/18/2024 0048,11/18/24,192 Pillsbury Dr ,Closed
UM 24-330110,Driving After Revocation,11/16/2024 2353,11/17/24,University Ave  / 10th Ave,Closed
UM 24-330471,Miscellaneous,11/17/2024 1109,11/17/24,326 17th Ave ,
UM 24-330533,Hit/Run No Injury,11/17/2024 1207,11/17/24,10th Ave  / University Ave,Inactive
UM 24-330802,Driving After Revocation,11/17/2024 1730,11/17/24,University Ave  / Oak St ,Closed
UM 24-331037,Suicide,11/17/2024 2225,11/17/24,1 Washington Ave ,Closed
UM 24-330701,Health Welfare Hold,11/17/2024 1550,11/17/24,500 21st Ave S,Closed
UM 24-329165,Health Welfare Hold,11/16/2024 0132,11/16/24,2721 4th St ,Closed
UM 24-329211,Driving After Revocation,11/16/2024 0239,11/16/24,4th St  / 14th Ave ,Closed
UM 24-329636,Crisis Intervention,11/16/2024 1610,11/16/24,1 Portland Ave,Closed
UM 24-329768,Suicide,11/16/2024 1821,11/16/24,1 Washington Ave ,
UM 24-329928,Uncure Business,11/16/2024 2107,11/16/24,2275 Larpenteur Ave W,Closed
UM 24-329966,Driving After Revocation,11/16/2024 2149,11/16/24,7th Ave  / University Ave ,Closed
UM 24-330070,No Proof of Insurance,11/16/2024 2305,11/16/24,Cedar Ave S / 6th St S,Closed
UM 24-330077,Miscellaneous,11/16/2024 2316,11/16/24,500 21st Ave S,Closed
UM 24-328475,Recover Property,11/15/2024 1508,11/15/24,505 Washington Ave ,Closed
UM 24-327994,Hit/Run Property Damage,11/15/2024 0039,11/15/24,615 Washington Ave ,Inactive
UM 24-328033,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,11/15/2024 0145,11/15/24,14th Ave  / 5th St ,
UM 24-328168,No Valid Driver's Licen,11/15/2024 0833,11/15/24,19th Ave S / 3rd St S,Closed
UM 24-328191,Assault / Health Welfare Hold,11/15/2024 0845,11/15/24,1250 Fifield St,Inactive
UM 24-328222,Criminal xual Conduct-Rape,11/14/2024 0000,11/15/24,614 Delaware St ,
UM 24-328373,Theft from Building,11/07/2024 1200,11/15/24,2175 Larpenteur Ave W,
UM 24-328457,Impound Abandoned Vehicle,11/15/2024 1451,11/15/24,1 10th Ave ,Closed
UM 24-328920,Traffice Law Enforcement / U of Force,11/15/2024 2113,11/15/24,2639 University Ave ,Closed
UM 24-329076,Driving After Cancellation,11/15/2024 2357,11/15/24,4th St  / 6th Ave ,Closed
TC24-115,Rape,11/14/24,11/15/24,Bailey Hall,Reported
TC24-116,Liquor Law Violation,11/8/24,11/15/24,Comstock Hall,Disciplinary Referral
UM 24-328064,Driving After Revocation,11/15/2024 0253,11/15/24,403 14th Ave ,Closed
UM 24-327033,Warrant,11/14/2024 0915,11/14/24,551 Washington Ave ,Arrest
UM 24-327118,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,11/14/2024 1000,11/14/24,15th Ave  / University Ave,
UM 24-327089,Bike Theft,11/13/2024 1100,11/14/24,420 Washington Ave ,Inactive
UM 24-327152,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft,11/14/2024 0452,11/14/24,326 17th Ave ,
UM 24-327718,Driving After Suspension,11/14/2024 1836,11/14/24,Fulton St  / Ontario St ,Closed
UM 24-327789,Bike Theft,11/13/2024 2000,11/14/24,210 Delaware St ,
UM 24-327825,Trespass,11/14/2024 2048,11/14/24,2601 University Ave ,
UM 24-327868,Bike Theft,11/14/2024 1740,11/14/24,1900 University Ave ,
UM 24-327887,No Proof of Insurance,11/14/2024 2205,11/14/24,Pillsbury Dr  / Church St ,Closed
UM 24-326885,Crisis Intervention,11/14/2024 0109,11/14/24,412 22nd Ave S,Closed
UM 24-326887,Squad Accident,11/14/2024 0118,11/14/24,15th Ave  / 8th St ,Closed
UM 24-326143,Warrant,11/13/2024 0928,11/13/24,419 Cedar Ave S,Arrest
UM 24-326261,Property Damage Accident Report,11/13/2024 1217,11/13/24,2901 Talmage Ave ,Closed
